sent_id,sentence_text,token_form,gold_deprel,stanza_deprel,gold_case_marker,stanza_case_marker,gold_verifier_rule_id,stanza_verifier_rule_id,gold_final_decision,stanza_final_decision,diagnosis
dev-s1621,"कानून में संशोधन के जरिए विदेशों में रोज़गार, शिक्षा या अन्य कारणों से रह रहे भारतीय नागरिकों को भारत स्थित अपने वास्तविक निवास के आधार पर मतदाता सूची में अपना नाम डलवाने और मताधिकार प्रयोग का अधिकार होगा ।",नागरिकों,obj,nsubj,को,को,R5,,ambiguous,mapping_hypothesis,deprel changed obj to nsubj
dev-s255,मेरे जैसे दूसरे पादरी और ननों को भी वकालत के पेशे से जुड़ने का मौका मिलेगा ।,पादरी,iobj,nsubj,को,को,R5,,ambiguous,mapping_hypothesis,deprel changed iobj to nsubj
dev-s367,हालांकि चर्चाएं तो ये भी थीं कि मुख्यमंत्री व पीसीसी चीफ वढ़ेरा दंपत्ति को भोज की दावत दे सकते हैं ।,दंपत्ति,iobj,conj,को,को,R5,,ambiguous,no_decision,deprel changed iobj to conj
dev-s468,हालांकि अब तक भाजपा व एनडीए नेतृत्व की ओर से कांग्रेस के इस तर्क को कोई समर्थन नहीं मिला है कि सदनों के प्रमुखों के चार पदों में से कम से कम एक पद सत्ताधारी दल को मिलना चाहिए ।,तर्क,iobj,nsubj,को,को,R5,,ambiguous,mapping_hypothesis,deprel changed iobj to nsubj
dev-s474,कांग्रेस का तर्क यह भी है कि लोकसभा उपाध्यक्ष का पद परंपरा के मुताबिक विपक्ष को प्रस्तावित था और एनडीए ने अकाली दल को यह पद दे दिया ।,विपक्ष,iobj,nsubj,को,को,R5,,ambiguous,mapping_hypothesis,deprel changed iobj to nsubj
dev-s584,बताया जाता है कि दिल्ली के सिनेमा घरों में हुए विस्फोटों के एक आरोपी को नवांशहर से धरने के बाद दिल्ली पुलिस को उससे पूछ - ताछ में हवारा और उसके साथी के ठिकाने के बारे में पता लगा ।,आरोपी,obj,nsubj,को,को,R5,,ambiguous,mapping_hypothesis,deprel changed obj to nsubj
dev-s584,बताया जाता है कि दिल्ली के सिनेमा घरों में हुए विस्फोटों के एक आरोपी को नवांशहर से धरने के बाद दिल्ली पुलिस को उससे पूछ - ताछ में हवारा और उसके साथी के ठिकाने के बारे में पता लगा ।,पुलिस,iobj,nsubj,को,को,R5,,ambiguous,mapping_hypothesis,deprel changed iobj to nsubj
dev-s585,पूछ - ताछ में दिल्ली पुलिस को पता लगा कि हवारा और उसका साथी पटियाला की पंजाब यूनीवर्सिटी में कुछ लोगों से मिलने गया है ।,पुलिस,iobj,nsubj,को,को,R5,,ambiguous,mapping_hypothesis,deprel changed iobj to nsubj
dev-s717,इसके चलते सरकार को कार कंपनियों से मिलने वाले राजस्व में ३८ फीसदी का नुकसान हुआ ।,सरकार,iobj,nsubj,को,को,R5,,ambiguous,mapping_hypothesis,deprel changed iobj to nsubj
dev-s735,जबकि ससुर को कोई सजा तो दूर उसे 'आजादी' बख्श दी ।,ससुर,obj,nsubj,को,को,R5,,ambiguous,mapping_hypothesis,deprel changed obj to nsubj
dev-s807,"दिल्ली पुलिस के सूत्रों के मुताबिक, मुठभेड़ में मारे गए पटना के आतंकी शख्स की डायरी में इफ्तखार के देहरादून स्थित बैंक खाते का नंबर का उल्लेख है, जिससे संदेह है कि इफ्तखार को आतंकी आर्थिक मदद भी दे रहे थे ।",इफ्तखार,iobj,nsubj,को,को,R5,,ambiguous,mapping_hypothesis,deprel changed iobj to nsubj
dev-s823,गौरतलब है कि शुक्रवार को संयुक्त राष्ट्र संघ की परमाणु मामले की निगरानी करने वाली संस्था अंतरराष्ट्रीय परमाणु ऊर्जा एजेंसी (आईएईए) और इसके प्रमुख मोहम्मद अलबरदेई को संयुक्त रूप से इस साल शांति के क्षेत्र में दिए जाने वाले नोबेल पुरस्कार के लिए चुना गया ।,एजेंसी,obj,iobj,को,,R5,,ambiguous,mapping_hypothesis,deprel changed obj to iobj; case marker changed को to empty
