sent_id,occurrence_index,sentence_text,token_form,gold_deprel,stanza_deprel,gold_case_marker,stanza_case_marker,gold_verifier_rule_id,stanza_verifier_rule_id,gold_final_decision,stanza_final_decision,gold_final_candidates,stanza_final_candidates,deprel_agree,case_marker_agree,rule_id_agree,final_decision_agree
dev-s1093,1,रेडियो रिपोर्ट में वाइस एडमिरल दया संदागिरी के हवाले से कहा गया है कि सुनामी से मची तबाही में प्रभाकरन और अम्मान या तो मारे गए या वे लापता हैं ।,मची,amod,acl,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1094,1,असम विधानसभा चुनाव में एक साल का समय शेष रह गया है ।,शेष,compound,xcomp,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1094,1,असम विधानसभा चुनाव में एक साल का समय शेष रह गया है ।,समय,obl,nsubj,,,,,mapping_hypothesis,mapping_hypothesis,Adhikaraṇa|Apādāna|Karaṇa,Kartā,no,yes,yes,yes
dev-s1096,1,"सोमवार से पार्टी के संचालन समिति की बैठक शुरू हो रही है, जिसमें नेतृत्व का मुद्दा छाए रहने की संभावना है ।",मुद्दा,obj,nsubj,,,,,mapping_hypothesis,mapping_hypothesis,Karma,Kartā,no,yes,yes,yes
dev-s1097,1,पार्टी के दो वरिष्ठ नेताओं पूर्व मुख्यमंत्री प्रफुल्ल कुमार महंत तथा पूर्व गृह मंत्री भृगुकुमार फूकन का साथ आना पार्टी अध्यक्ष बृंदाबन गोस्वामी और उनके समर्थकों के लिए अच्छा संकेत नहीं माना जा रहा है ।,महंत,nmod,obl,,,,,no_decision,mapping_hypothesis,,Adhikaraṇa|Apādāna|Karaṇa,no,yes,yes,no
dev-s1097,1,पार्टी के दो वरिष्ठ नेताओं पूर्व मुख्यमंत्री प्रफुल्ल कुमार महंत तथा पूर्व गृह मंत्री भृगुकुमार फूकन का साथ आना पार्टी अध्यक्ष बृंदाबन गोस्वामी और उनके समर्थकों के लिए अच्छा संकेत नहीं माना जा रहा है ।,संकेत,acl,obj,,,,,no_decision,mapping_hypothesis,,Karma,no,yes,yes,no
dev-s1097,1,पार्टी के दो वरिष्ठ नेताओं पूर्व मुख्यमंत्री प्रफुल्ल कुमार महंत तथा पूर्व गृह मंत्री भृगुकुमार फूकन का साथ आना पार्टी अध्यक्ष बृंदाबन गोस्वामी और उनके समर्थकों के लिए अच्छा संकेत नहीं माना जा रहा है ।,साथ,obl,compound,,,,,mapping_hypothesis,no_decision,Adhikaraṇa|Apādāna|Karaṇa,,no,yes,yes,no
dev-s1098,1,गोस्वामी कैंप ने महंत को दरकिनार कर दिया है ।,महंत,nsubj,obj,को,को,,R5,mapping_hypothesis,ambiguous,Kartā,Karma|Sampradāna,no,yes,no,no
dev-s1099,1,उनके समर्थकों ने दूसरी महिला से संबंध रखने के आरोप में उन्हें इस्तीफा देने के लिए मजबूर कर दिया था ।,उन्हें,nsubj,obj,,,,,mapping_hypothesis,mapping_hypothesis,Kartā,Karma,no,yes,yes,yes
dev-s1099,1,उनके समर्थकों ने दूसरी महिला से संबंध रखने के आरोप में उन्हें इस्तीफा देने के लिए मजबूर कर दिया था ।,महिला,iobj,obl,से,से,,R4,mapping_hypothesis,ambiguous,Sampradāna,Karaṇa|Apādāna,no,yes,no,no
