ud_split,ud_sent_id,ud_text,hdtb_split,hdtb_file,hdtb_sentence_index,hdtb_text,similarity_score
train,train-s31,यह सोमवार को छोड़कर हर दिन सुबह 10.30 से 6.30 तक खुला रहता है ।,Training,1070425029_3.dat,10,यह सोमवार को छोड़कर हर दिन सुबह 10.30 से 6.30 तक खुला रहता है ।,0.9760
train,train-s31,यह सोमवार को छोड़कर हर दिन सुबह 10.30 से 6.30 तक खुला रहता है ।,Training,1070425029_3.dat,7,यह मंगलवार को छोड़कर हर दिन सुबह 7 से 11 और 3 से 5 बजे शाम तक खुला रहता है ।,0.7391
train,train-s31,यह सोमवार को छोड़कर हर दिन सुबह 10.30 से 6.30 तक खुला रहता है ।,Training,1070425029_3.dat,3,यह संग्रहालय भी सोमवार को छोड़कर पूरे सप्ताह 9 बजे से 5 बजे तक खुला रहता है ।,0.6475
train,train-s34,"यहाँ आप चाँदी के आभूषण, बीडवर्क, कढ़ाई का काम और सीक्वन का काम खूबसूरत अंदाज में देख और खरीद सकते हैं ।",Training,1070425029_3.dat,13,"यहाँ आप चाँदी के आभूषण , बीडवर्क , कढ़ाई का काम और सीक्वन का काम खूबसूरत अंदाज में देख और खरीद सकते हैं ।",0.9758
train,train-s34,"यहाँ आप चाँदी के आभूषण, बीडवर्क, कढ़ाई का काम और सीक्वन का काम खूबसूरत अंदाज में देख और खरीद सकते हैं ।",Training,fullnews_id_2477217_date_26_5_2004.dat,1,भारत और पाकिस्तान के बीच बढ़ते संबंधों का असर कश्मीर के किचन में भी देखा जा रहा है ।,0.3978
train,train-s34,"यहाँ आप चाँदी के आभूषण, बीडवर्क, कढ़ाई का काम और सीक्वन का काम खूबसूरत अंदाज में देख और खरीद सकते हैं ।",Training,1070425056_1.dat,4,"यहाँ बाघ के अलावा तेंदुआ , हिरण , चीतल , नीलगाय , जंगली सूअर और कई तरह के पक्षी बड़ी संख्या में हैं ।",0.3645
train,train-s35,बड़ी झील छोटी झील से एक ओवरब्रिज से अलग होती है ।,Training,1070425029_3.dat,14,बड़ी झील छोटी झील से एक ओवरब्रिज से अलग होती है ।,0.9691
train,train-s35,बड़ी झील छोटी झील से एक ओवरब्रिज से अलग होती है ।,Training,fullnews_id_2520527_date_12_6_2004.dat,15,इस बीमारी से बच्चे विकलांग भी हो जाते हैं ।,0.4783
train,train-s35,बड़ी झील छोटी झील से एक ओवरब्रिज से अलग होती है ।,Training,fullnews_id_2477217_date_26_5_2004.dat,4,कश्मीरी लोग इससे एक महत्वपूर्ण राजनीतिक सबक भी ले रहे हैं ।,0.4630
train,train-s36,म.प्र. पर्यटन बोट क्लब बड़ी झील में नौकायन भी करवाता है ।,Training,1070425029_3.dat,15,म.प्र. पर्यटन बोट क्लब बड़ी झील में नौकायन भी करवाता है ।,0.9735
train,train-s36,म.प्र. पर्यटन बोट क्लब बड़ी झील में नौकायन भी करवाता है ।,Training,fullnews_id_2513742_date_10_6_2004.dat,13,राज्य के बारपेटा व धुबरी जिलों में भी यही स्थिति है ।,0.4545
train,train-s36,म.प्र. पर्यटन बोट क्लब बड़ी झील में नौकायन भी करवाता है ।,Training,fullnews_id_2571141_date_5_7_2004.dat,5,कंपनी प्रति वर्ष ५.१ करोड़ टन स्टील का उत्पादन करती है ।,0.4464
train,train-s41,मुंबई से इटारसी और झाँसी के रास्ते दिल्ली जाने वाली मुख्य गाड़ियाँ भोपाल होकर जाती हैं ।,Training,1070425029_3.dat,20,मुंबई से इटारसी और झाँसी के रास्ते दिल्ली जाने वाली मुख्य गाड़ियाँ भोपाल होकर जाती हैं ।,0.9829
train,train-s41,मुंबई से इटारसी और झाँसी के रास्ते दिल्ली जाने वाली मुख्य गाड़ियाँ भोपाल होकर जाती हैं ।,Training,fullnews_id_2536776_date_19_6_2004.dat,13,राज्य में घरेलू और विदेशी पर्यटकों की संख्या में लगातार इजाफा हो रहा है ।,0.4099
train,train-s41,मुंबई से इटारसी और झाँसी के रास्ते दिल्ली जाने वाली मुख्य गाड़ियाँ भोपाल होकर जाती हैं ।,Training,fullnews_id_2484364_date_28_5_2004.dat,28,मिली जानकारी के मुताबिक २५ दिसंबर को ही सुरेश सोनी दिल्ली में भाजपा मुख्यालय आए थे ।,0.3953
train,train-s42,"भोपाल तथा इंदौर, मांडू, उज्जैन, खजुराहो, पचमढ़ी, ग्वालियर, साँची, जबलपुर और शिवपुरी के बीच नियमित बस सेवाएँ हैं ।",Training,1070425029_3.dat,21,"भोपाल तथा इंदौर , मांडू , उज्जैन , खजुराहो , पचमढ़ी , ग्वालियर , साँची , जबलपुर और शिवपुरी के बीच नियमित बस सेवाएँ हैं ।",0.9569
train,train-s42,"भोपाल तथा इंदौर, मांडू, उज्जैन, खजुराहो, पचमढ़ी, ग्वालियर, साँची, जबलपुर और शिवपुरी के बीच नियमित बस सेवाएँ हैं ।",Training,1070425034_3.dat,15,"इंदौर , धार , महू , उज्जैन और भोपाल से नियमित बस सेवा द्वारा यहाँ तक पहुँचा जा सकता है ।",0.4478
train,train-s42,"भोपाल तथा इंदौर, मांडू, उज्जैन, खजुराहो, पचमढ़ी, ग्वालियर, साँची, जबलपुर और शिवपुरी के बीच नियमित बस सेवाएँ हैं ।",Training,fullnews_id_2561712_date_30_6_2004.dat,15,"उदाहरण के तौर पर माराडिगा , स्पैनिश , अंग्रेजी , इटैलियन , फ्रेंच , पुर्तगीज , जर्मन और ग्रीक भाषाएं बोलना जानते हैं ।",0.3983
train,train-s59,संभवतः यह सुल्तान गयासुद्दीन खिलजी ने बड़े हरम के रूप में बनवाया था.,Training,1070425034_2.dat,2,संभवतः यह सुल्तान गयासुद्दीन खिलजी ने बड़े हरम के रूप में बनवाया था .,0.9706
train,train-s59,संभवतः यह सुल्तान गयासुद्दीन खिलजी ने बड़े हरम के रूप में बनवाया था.,Training,fullnews_id_2550154_date_25_6_2004.dat,6,दोनों के शव स्थानीय ग्रामीणों ने सुबह ९.३० बजे के करीब देखे और पुलिस को बताया ।,0.4082
train,train-s59,संभवतः यह सुल्तान गयासुद्दीन खिलजी ने बड़े हरम के रूप में बनवाया था.,Training,fullnews_id_2568814_date_3_7_2004.dat,12,राजनाथ सिंह ने सबसे पहले गुरुद्वारा में मत्था टेका ।,0.3667
train,train-s67,यह अफगानी कला का बेजोड़ उदाहरण है.,Training,1070425034_2.dat,12,यह अफगानी कला का बेजोड़ उदाहरण है .,0.9412
train,train-s67,यह अफगानी कला का बेजोड़ उदाहरण है.,Training,fullnews_id_2525010_date_14_6_2004.dat,5,यह राजनीतिक लेखों का संग्रह है ।,0.4848
train,train-s67,यह अफगानी कला का बेजोड़ उदाहरण है.,Training,1070714041_1.dat,2,मुगलों का यह सबसे पसंदीदा शहर रहा है .,0.4722
train,train-s74,इस भव्य इमारत से बाज बहादुर के महल और निमाड़ के मैदान में बह रही नर्मदा नदी के दर्शन किए जा सकते हैं ।,Training,1070425034_3.dat,3,इस भव्य इमारत से बाज बहादुर के महल और निमाड़ के मैदान में बह रही नर्मदा नदी के दर्शन किए जा सकते हैं ।,0.9852
train,train-s74,इस भव्य इमारत से बाज बहादुर के महल और निमाड़ के मैदान में बह रही नर्मदा नदी के दर्शन किए जा सकते हैं ।,Training,1070621056_2.dat,2,इस थीम पार्क की सबसे मजेदार बात है कि यहाँ आप स्क्रीन के अंदर जाकर रियल लाइफ में एक्शन का लुत्‍फ ले सकते हैं ।,0.4340
train,train-s74,इस भव्य इमारत से बाज बहादुर के महल और निमाड़ के मैदान में बह रही नर्मदा नदी के दर्शन किए जा सकते हैं ।,Training,fullnews_id_2575964_date_7_7_2004.dat,6,रिपोर्ट पेश होने के बाद शौरी ने कहा कि इस मामले में वह किसी भी जाँच का सामना करने के लिए तैयार हैं ।,0.4158
train,train-s76,यहाँ शिवजी का मंदिर है जिसमें जाने के लिए अंदर सीढ़ी उतरकर जाना पड़ता है ।,Training,1070425034_3.dat,5,यहाँ शिवजी का मंदिर है जिसमें जाने के लिए अंदर सीढ़ी उतरकर जाना पड़ता है ।,0.9589
train,train-s76,यहाँ शिवजी का मंदिर है जिसमें जाने के लिए अंदर सीढ़ी उतरकर जाना पड़ता है ।,Training,fullnews_id_2522688_date_13_6_2004.dat,5,इसी बारे में राय मशवरा करने के लिए अर्जुन सिंह इलाहाबाद जा रहे हैं ।,0.4648
train,train-s76,यहाँ शिवजी का मंदिर है जिसमें जाने के लिए अंदर सीढ़ी उतरकर जाना पड़ता है ।,Training,fullnews_id_2516255_date_10_6_2004.dat,5,दूसरा विवाद उन जिलों को लेकर भी है जिन्हें इस योजना में शामिल किया गया है ।,0.4295
train,train-s78,ऊपर पेड़ों से घिरे तालाब से एक धार नीचे शिवजी का अभिषेक करती जाती है ।,Training,1070425034_3.dat,7,ऊपर पेड़ों से घिरे तालाब से एक धार नीचे शिवजी का अभिषेक करती जाती है ।,0.9784
train,train-s78,ऊपर पेड़ों से घिरे तालाब से एक धार नीचे शिवजी का अभिषेक करती जाती है ।,Training,1071003006_2.dat,28,बलि पूजा स्वीकार होने की वजह से इसे तांत्रिकों का मंदिर भी कहा जाता है ।,0.4085
train,train-s78,ऊपर पेड़ों से घिरे तालाब से एक धार नीचे शिवजी का अभिषेक करती जाती है ।,Training,fullnews_id_2564261_date_1_7_2004.dat,12,मुंबई के अजीत अगरकर को तीसरे तेज गेंदबाज के रूप में शामिल किया गया है ।,0.3972
train,train-s82,यहाँ ईको पॉइंट पर पर्यटकों की भीड़ लगी ही रहती है ।,Training,1070425034_3.dat,11,यहाँ ईको पॉइंट पर पर्यटकों की भीड़ लगी ही रहती है ।,0.9703
train,train-s82,यहाँ ईको पॉइंट पर पर्यटकों की भीड़ लगी ही रहती है ।,Training,1070621056_3.dat,7,इस समय पर्यटकों की भीड़ इस शहर को घेर लेती है ।,0.5510
train,train-s82,यहाँ ईको पॉइंट पर पर्यटकों की भीड़ लगी ही रहती है ।,Training,fullnews_id_2479668_date_27_5_2004.dat,2,विपिन के सुपर कंप्यूटर की स्पीड ४६ गीगा हर्टस तक है ।,0.5385
train,train-s85,"99 किमी. पर इंदौर हवाई अड्डा सबसे निकट है जो मुंबई, दिल्ली और भोपाल से जुड़ा है ।",Training,1070425034_3.dat,14,"99 किमी. पर इंदौर हवाई अड्डा सबसे निकट है जो मुंबई , दिल्ली और भोपाल से जुड़ा है ।",0.9753
train,train-s85,"99 किमी. पर इंदौर हवाई अड्डा सबसे निकट है जो मुंबई, दिल्ली और भोपाल से जुड़ा है ।",Training,1070425029_3.dat,18,"दिल्ली ग्वालियर , इंदौर और मुंबई से भोपाल के लिए नियमित विमान सेवा है ।",0.4211
train,train-s85,"99 किमी. पर इंदौर हवाई अड्डा सबसे निकट है जो मुंबई, दिल्ली और भोपाल से जुड़ा है ।",Training,fullnews_id_2561779_date_1_7_2004.dat,2,इससे पहले शुक्रवार देर रात होंडा के श्रमिकों और प्रबंधन के बीच दिल्ली में समझौता हो गया ।,0.4000
train,train-s91,ऊँची पहाड़ी पर पहले आबादी से भरपूर मजबूत रणथम्भौर किला था जिसे हथियाने के लिए एक शासक ने तलहटी में एक साल तक घेरा डाले रखा था ।,Training,1070425056_1.dat,1,ऊँची पहाड़ी पर पहले आबादी से भरपूर मजबूत रणथम्भौर किला था जिसे हथियाने के लिए एक शासक ने तलहटी में एक साल तक घेरा डाले रखा था ।,0.9881
train,train-s91,ऊँची पहाड़ी पर पहले आबादी से भरपूर मजबूत रणथम्भौर किला था जिसे हथियाने के लिए एक शासक ने तलहटी में एक साल तक घेरा डाले रखा था ।,Training,fullnews_id_2518274_date_12_6_2004.dat,8,पिछले महीने १८ वर्ष की होने वाली सानिया ने पहला सेट बगैर खास दिक्कत के जीत लिया लेकिन दूसरे सेट में उनका प्रदर्शन उतार - चढ़ाव भरा रहा ।,0.3664
train,train-s91,ऊँची पहाड़ी पर पहले आबादी से भरपूर मजबूत रणथम्भौर किला था जिसे हथियाने के लिए एक शासक ने तलहटी में एक साल तक घेरा डाले रखा था ।,Training,fullnews_id_2504135_date_5_6_2004.dat,10,तीस्ता के वकील ने आरोप लगाया कि बडोदरा के स्थानीय भाजपा और विहिप नेताओं ने बयान बदलने के लिए जाहिरा को भारी रकम देने का लालच दिया ।,0.3643
train,train-s92,कई युद्ध झेल चुका और कितने ही राजा और नवाबों के उत्कर्ष और पतन का साक्षी रहा रणथम्भौर किला समुद्र की सतह से 401 मीटर ऊँची पहाड़ी पर बना है ।,Training,1070425056_1.dat,2,कई युद्ध झेल चुका और कितने ही राजा और नवाबों के उत्कर्ष और पतन का साक्षी रहा रणथम्भौर किला समुद्र की सतह से 401 मीटर ऊँची पहाड़ी पर बना है ।,0.9892
train,train-s92,कई युद्ध झेल चुका और कितने ही राजा और नवाबों के उत्कर्ष और पतन का साक्षी रहा रणथम्भौर किला समुद्र की सतह से 401 मीटर ऊँची पहाड़ी पर बना है ।,Training,fullnews_id_2536771_date_19_6_2004.dat,3,फर्नॉडिस के साथ ४५ मिनट की बातचीत के बाद साध्वी ने पत्रकारों को बताया कि वह बिहार में पार्टी की सह - प्रभारी हैं ।,0.3307
train,train-s92,कई युद्ध झेल चुका और कितने ही राजा और नवाबों के उत्कर्ष और पतन का साक्षी रहा रणथम्भौर किला समुद्र की सतह से 401 मीटर ऊँची पहाड़ी पर बना है ।,Training,fullnews_id_2550142_date_25_6_2004.dat,14,"पीडीपी की दलील थी कि पाकिस्तान के राष्ट्रपति जनरल परवेज मुशर्रफ भी स्वशासन की बात कर रहे हैं , NULL ऐसे में इस समस्या को हल किया जा सकता है ।",0.3274
train,train-s94,"यहाँ बाघ के अलावा तेंदुआ, हिरण, चीतल, नीलगाय, जंगली सूअर और कई तरह के पक्षी बड़ी संख्या में हैं ।",Training,1070425056_1.dat,4,"यहाँ बाघ के अलावा तेंदुआ , हिरण , चीतल , नीलगाय , जंगली सूअर और कई तरह के पक्षी बड़ी संख्या में हैं ।",0.9645
train,train-s94,"यहाँ बाघ के अलावा तेंदुआ, हिरण, चीतल, नीलगाय, जंगली सूअर और कई तरह के पक्षी बड़ी संख्या में हैं ।",Training,1070919011_2.dat,25,"यहाँ के ब्राइगन घाट पर लकड़ी के अनेक सुंदर मकान हैं , जो मध्यकालीन युग की याद दिलाते हैं ।",0.4194
train,train-s94,"यहाँ बाघ के अलावा तेंदुआ, हिरण, चीतल, नीलगाय, जंगली सूअर और कई तरह के पक्षी बड़ी संख्या में हैं ।",Training,fullnews_id_2543535_date_23_6_2004.dat,20,जबकि मुफ्त बांटे जाने वाले कंडोम की लागत पर ही सरकार की करोड़ों की धनराशि हर साल खर्च होती है ।,0.3560
train,train-s95,किले और उद्यान तक पहुँचने के लिए सिंहद्वार तक एक ही सड़क है ।,Training,1070425056_1.dat,5,किले और उद्यान तक पहुँचने के लिए सिंहद्वार तक एक ही सड़क है ।,0.9752
train,train-s95,किले और उद्यान तक पहुँचने के लिए सिंहद्वार तक एक ही सड़क है ।,Training,1070609018_1.dat,16,एफिल टॉवर तक पहुँचने के लिए बेहतरीन लिफ्ट का इंतजाम है ।,0.5299
train,train-s95,किले और उद्यान तक पहुँचने के लिए सिंहद्वार तक एक ही सड़क है ।,Training,1071003006_1.dat,23,"यहाँ तक पहुँचने के लिए ट्रेन , बस व हवाई सेवाएँ उपलब्ध हैं ।",0.5289
train,train-s102,सन् 1282 में चौहान वंशीय राजा हमीर यहाँ सत्तारूढ़ थे ।,Training,1070425056_1.dat,12,सन् 1282 में चौहान वंशीय राजा हमीर यहाँ सत्तारूढ़ थे ।,0.9720
train,train-s102,सन् 1282 में चौहान वंशीय राजा हमीर यहाँ सत्तारूढ़ थे ।,Training,fullnews_id_2571127_date_4_7_2004.dat,10,नाग के नेतृत्व में आठ सदस्यीय दल वहां जा रहा है ।,0.4078
train,train-s102,सन् 1282 में चौहान वंशीय राजा हमीर यहाँ सत्तारूढ़ थे ।,Training,fullnews_id_2545613_date_23_6_2004.dat,13,उत्तरांचल के प्रमुख शहरों व राजधानी देहरादून की भी यही स्थिति है ।,0.4000
train,train-s116,महारानी एलिज़ाबेथ द्वितीय और एडेनबर्ग के ड्यूक के अलावा पूर्व प्रधानमंत्री राजीव गाँधी भी उद्यान में बाघ देखने आ चुके हैं ।,Training,1070425056_2.dat,6,महारानी एलिज़ाबेथ द्वितीय और एडेनबर्ग के ड्यूक के अलावा पूर्व प्रधानमंत्री राजीव गाँधी भी उद्यान में बाघ देखने आ चुके हैं ।,0.9878
train,train-s116,महारानी एलिज़ाबेथ द्वितीय और एडेनबर्ग के ड्यूक के अलावा पूर्व प्रधानमंत्री राजीव गाँधी भी उद्यान में बाघ देखने आ चुके हैं ।,Training,fullnews_id_2534463_date_18_6_2004.dat,21,सरला महेश्वरी ने अपने जज्बात पर काबू रखते हुए प्रधानमंत्री से महिलाओं को ३३ फीसदी आरक्षण देने की मांग की ।,0.3755
train,train-s116,महारानी एलिज़ाबेथ द्वितीय और एडेनबर्ग के ड्यूक के अलावा पूर्व प्रधानमंत्री राजीव गाँधी भी उद्यान में बाघ देखने आ चुके हैं ।,Training,fullnews_id_2504117_date_5_6_2004.dat,10,पूर्व प्रधानमंत्री मीर जफरूल्लाह खान जमाली के इस्तीफे के बारे में पूछे गए सवाल पर मुशर्रफ ने कहा कि उन्होंने इसके लिए कोई दबाव नहीं डाला ।,0.3525
train,train-s121,"पिछले पन्द्रह वर्षों से इस क्षेत्र में वाहन चला रहे भानु प्रताप सिंह ने बताया कि पर्यटकों की संख्या निरंतर बढ़ रही है, लेकिन बाघ कभी कभार ही दिखता है ।",Training,1070425056_2.dat,11,"पिछले पन्द्रह वर्षों से इस क्षेत्र में वाहन चला रहे भानु प्रताप सिंह ने बताया कि पर्यटकों की संख्या निरंतर बढ़ रही है , लेकिन बाघ कभी कभार ही दिखता है ।",0.9868
train,train-s121,"पिछले पन्द्रह वर्षों से इस क्षेत्र में वाहन चला रहे भानु प्रताप सिंह ने बताया कि पर्यटकों की संख्या निरंतर बढ़ रही है, लेकिन बाघ कभी कभार ही दिखता है ।",Training,fullnews_id_2506472_date_7_6_2004.dat,12,"प्राइवेट सेक्टर में आरक्षण के विरोध के सवाल पर सिंह ने कहा कि इसे कोई भी नहीं टाल सकता , क्योंकि यह अब राष्ट्रीय नीति बनने जा रही है ।",0.3930
train,train-s121,"पिछले पन्द्रह वर्षों से इस क्षेत्र में वाहन चला रहे भानु प्रताप सिंह ने बताया कि पर्यटकों की संख्या निरंतर बढ़ रही है, लेकिन बाघ कभी कभार ही दिखता है ।",Training,fullnews_id_2564270_date_1_7_2004.dat,9,केंद्रीय मंत्रिमंडल की बैठक के बाद पत्रकारों से बातचीत करते हुए लालू प्रसाद ने कहा कि उन्होंने प्रधानमंत्री से पासवान को लेकर विरोध दर्ज कराया है ।,0.3893
train,train-s126,तो वहीँ दूसरी तरफ सुंदर वादियाँ हैं जो सुंदर फूलों और रंगीन पत्तियों वाले पेड़ों से ढकी रहती हैं ।,Training,1070510038_1.dat,2,तो वहीँ दूसरी तरफ सुंदर वादियाँ हैं जो सुंदर फूलों और रंगीन पत्तियों वाले पेड़ों से ढकी रहती हैं ।,0.9846
train,train-s126,तो वहीँ दूसरी तरफ सुंदर वादियाँ हैं जो सुंदर फूलों और रंगीन पत्तियों वाले पेड़ों से ढकी रहती हैं ।,Training,fullnews_id_2516268_date_10_6_2004.dat,11,यहां वाहनों में फंसे करीब तीन हजार यात्रियों को प्रशासन ने आसपास के गांवों में शरण दिलाई है ।,0.3874
train,train-s126,तो वहीँ दूसरी तरफ सुंदर वादियाँ हैं जो सुंदर फूलों और रंगीन पत्तियों वाले पेड़ों से ढकी रहती हैं ।,Training,fullnews_id_2504148_date_5_6_2004.dat,13,"ये टुकड़ियाँ एमसीसी , पीपुल्स वार और रणवीर सेना जैसे अतिवादी संगठनों के ख़िलाफ़ कार्रवाई कर रही हैं ।",0.3673
train,train-s127,यूँ तो आपने यश चोपड़ा की फिल्मों में इस खूबसूरत देश के कई नयनाभिराम दृश्य देखे होंगे ।,Training,1070510038_1.dat,3,यूँ तो आपने यश चोपड़ा की फिल्मों में इस खूबसूरत देश के कई नयनाभिराम दृश्य देखे होंगे ।,0.9825
train,train-s127,यूँ तो आपने यश चोपड़ा की फिल्मों में इस खूबसूरत देश के कई नयनाभिराम दृश्य देखे होंगे ।,Training,1070510038_1.dat,4,जिन्हें देखने के बाद आपका मन भी इन खूबसूरत वादियों में खोने को करता होगा ।,0.4000
train,train-s127,यूँ तो आपने यश चोपड़ा की फिल्मों में इस खूबसूरत देश के कई नयनाभिराम दृश्य देखे होंगे ।,Training,1070716083_1.dat,10,खास बात यह है कि इन चित्रों में बुद्ध को प्रतीकों के रूप में दिखाया गया है .,0.3827
train,train-s133,यदि आपके पास थोड़ा सा वक्त और हौसला हो तो सूर्योदय के समय यहाँ की पहाड़ियों पर चहल - कदमी करना बेहद सुखद लगता है ।,Training,1070510038_1.dat,10,यदि आपके पास थोड़ा सा वक्त और हौसला हो तो सूर्योदय के समय यहाँ की पहाड़ियों पर चहल - कदमी करना बेहद सुखद लगता है ।,0.9735
train,train-s133,यदि आपके पास थोड़ा सा वक्त और हौसला हो तो सूर्योदय के समय यहाँ की पहाड़ियों पर चहल - कदमी करना बेहद सुखद लगता है ।,Training,fullnews_id_2513703_date_9_6_2004.dat,1,हरियाली और प्राकृतिक सौंदर्य से भरपूर यह द्वीप समूह सुनामी लहरों से हुई तबाही का मूक गवाह बनकर रह गया है ।,0.3909
train,train-s133,यदि आपके पास थोड़ा सा वक्त और हौसला हो तो सूर्योदय के समय यहाँ की पहाड़ियों पर चहल - कदमी करना बेहद सुखद लगता है ।,Training,fullnews_id_2484367_date_28_5_2004.dat,18,आडवाणी के इस बयान के बाद से यह तय हो गया है कि उप्र में जल्द ही पार्टी नेतृत्व सांगठनिक फेरबदल कर सकता है ।,0.3801
