sent_id,sentence_text,token_form,gold_karaka,corrected_candidates,deprel,case_marker
dev-s100,मंदिर के पीछे पत्थरों के ढेर के पास भगवान ईशान का मंदिर है ।,ढेर,Adhikarana,,nmod,के
dev-s101,इस ढेर के पीछे शंकराचार्य का समाधि स्थल है ।,ढेर,Adhikarana,,nmod,के
dev-s103,वर्तमान में इसमें पाँच मातृकाएँ स्थापित हैं ।,इसमें,Adhikarana,,nmod,
dev-s118,इसमें कश्मीर समस्या का भी जिक्र था ।,इसमें,Adhikarana,,nmod,
dev-s119,"शरीफ ने कहा कि तब वाजपेयी ने मुझसे कहा था कि वे वर्ष, १९९९ को कश्मीर समस्या के समाधान वर्ष के रूप में याद करना चाहेंगे ।",वर्ष,Adhikarana,,compound,
dev-s149,चीन के पास बजट के अलावा अतिरिक्त संसाधनों की भरमार है ।,चीन,Adhikarana,,nmod,के
dev-s175,भारद्वाज के मुताबिक 'प्रणव मुखर्जी की कमेटी ने उस समय भी प्रधानमंत्री को लोकपाल के दायरे से बाहर रखने का सुझाव दिया था ।,दायरे,Adhikarana,Karaṇa|Apādāna,obl,से
dev-s179,भारद्वाज का मानना है कि जजों के बारे में न्यायपालिका किसी जल्दी में नहीं दिखती ।,जल्दी,Adhikarana,,advmod,में
dev-s184,"भारद्वाज का मानना है कि सीवीसी सीबीआई के निदेशक और प्रवर्तन निदेशालय के निदेशकों की नियुक्ति का अनुमोदन करने का अधिकार रखता है, लेकिन उसके पास उतने कानूनी अधिकार नहीं हैं ।",उसके,Adhikarana,,nmod,पास
dev-s212,मैं चाहता हूं कि संघ परिवार दबाव बनाकर प्रवीण तोगड़िया का बयान वापस कराए या फिर उन्हें विहिप से बाहर कर दिया जाए ।,विहिप,Adhikarana,Karaṇa|Apādāna,obl,से
dev-s218,दूसरी ओर केंद्र में सत्तारूढ़ यूपीए के एक प्रमुख घटक राजद और उसे बाहर से समर्थन दे रहे माकपा ने इसे एकतरफा करार दिया है ।,बाहर,Adhikarana,Karaṇa|Apādāna,obl,से
dev-s227,सीटों के तालमेल का फैसला सोरेन व सोनिया गांधी के बीच हुई मुलाकात के बाद लिया गया ।,व,Adhikarana,,cc,
dev-s265,पर उन्होंने इस्तीफा देने से साफ इनकार कर दिया ।,पर,Adhikarana,,cc,
dev-s286,जनता दल (यूनाइटेड) के नेतृत्व वाली बिहार सरकार ने मंगलवार को सुप्रीम कोर्ट से कहा कि वह केंद्रीय मंत्री और राजद नेता मोहम्मद तस्लीमुद्दीन पर लगे हत्या के प्रयास के अभियोग को नहीं हटाना चाहती ।,तस्लीमुद्दीन,Adhikarana,,conj,पर
dev-s289,नितीश कुमार सरकार ने सुप्रीम कोर्ट को बताया कि वह विवादास्पद राजद नेता पर मुकदमा जारी रखने के पक्ष में है ।,पक्ष,Adhikarana,Karma,obj,में
dev-s298,गरीबी की जड़ अशिक्षा है और यदि २००७ तक गरीबी में ५ फीसदी की कमी लानी है तो शिक्षा और स्वास्थ्य पर निवेश में बढ़ोतरी करनी होगी ।,गरीबी,Adhikarana,,nmod,की
dev-s298,गरीबी की जड़ अशिक्षा है और यदि २००७ तक गरीबी में ५ फीसदी की कमी लानी है तो शिक्षा और स्वास्थ्य पर निवेश में बढ़ोतरी करनी होगी ।,और,Adhikarana,,cc,
dev-s300,इसलिए सरकार का विचार है कि राष्ट्रीय स्वास्थ्य नीति २००२ के तहत जन स्वास्थ्य में निवेश को जीडीपी के ०.९ फीसदी से बढ़ाकर २०१० तक जीडीपी के २.० फीसदी तक लाया जाए ।,स्वास्थ्य,Adhikarana,,compound,
dev-s300,इसलिए सरकार का विचार है कि राष्ट्रीय स्वास्थ्य नीति २००२ के तहत जन स्वास्थ्य में निवेश को जीडीपी के ०.९ फीसदी से बढ़ाकर २०१० तक जीडीपी के २.० फीसदी तक लाया जाए ।,फीसदी,Adhikarana,,acl,तक
dev-s302,आर्थिक सर्वेक्षण २००३ - ०४ में कहा गया है कि राष्ट्रीय शिक्षा नीति १९८६ के तहत निरक्षरता को पूरी तरह से समाप्त करने हेतु एक व्यापक नीतिगत रूपरेखा तैयार की गई है और सकल घरेलू उत्पाद के ६ फीसदी की दर से शिक्षा पर खर्च करने का लक्ष्य निर्धारित किया गया है ।,शिक्षा,Adhikarana,,compound,
dev-s310,आर्थिक सर्वेक्षण २००३ - ०४ में कहा गया है कि प्राथमिक कक्षा में नामांकन के मामले में लड़कियां लड़कों से आगे रही है ।,लड़कों,Adhikarana,Karaṇa|Apādāna,obl,से
dev-s335,कारगिल युद्ध के बारे में गठित सुब्रह्मण्यम समिति की रिपोर्ट को खारिज करते हुए अवकाश प्राप्त ब्रिगेडियर सुरिंदर सिंह ने आरोप लगाया है कि सामरिक दृष्टिकोण से महत्वपूर्ण द्रास सेक्टर की एक महत्वपूर्ण चौकी अब भी पाकिस्तान के कब्जे में है ।,कब्जे,Adhikarana,Karma,obj,में
dev-s336,कारगिल क्षेत्र में पाकिस्तानी घुसपैठ के बारे में सबसे पहले जानकारी देने वाले अवकाश प्राप्त ब्रिगेडियर सुरिंदर सिंह ने कहा है कि टाइगर हिल के निकट नियंत्रण रेखा के ३०० मीटर अंदर स्थित प्वाइंट ५३५३ अब भी पाकिस्तान के कब्जे में है ।,कब्जे,Adhikarana,Karma,obj,में
dev-s340,लड़ाई के दिनों को याद करते हुए ब्रिगेडियर सिंह ने कहा कि टाइगर हिल और तोलोलिंग पर हमले के दौरान पाकिस्तानी सैनिकों ने प्वाइंट ५३५३ से हमारी सेना पर काफी गोलीबारी की थी ।,और,Adhikarana,,cc,
dev-s346,होटल वाइल्ड फ्लावर हॉल से कुछ फासले पर स्थित रिट्रीट को राष्ट्रपति के ग्रीष्मकालीन रिहाइश के तौर पर जाना जाता है ।,हॉल,Adhikarana,Karaṇa|Apādāna,obl,से
dev-s355,कल्याणी के नाम से जाना जाने वाला यह हेलीपैड दर्शनीय है ।,नाम,Adhikarana,Karaṇa|Apādāna,obl,से
dev-s368,गत रात्रि से मनाली की ऊंची चोटियों पर हिमपात व निचले क्षेत्रों में बारिश होने से समूचा क्षेत्र ठंड की चपेट में आ गया है ।,क्षेत्र,Adhikarana,Kartā,nsubj,
dev-s371,जबकि मनाली में घूमने आए पर्यटक अपने होटल के कमरों से बाहर होटल के प्रांगण में निकले और बारिश में भीगकर बारिश की भीनी - भीनी बूंदों का मजा लेने लगे ।,कमरों,Adhikarana,Karaṇa|Apādāna,obl,से
dev-s376,प्राप्त सूत्रों के अनुसार घाटी के ऊंचे क्षेत्रों में ड्रिलबु पीक व संमजोतर पीक में हल्का हिमपात होने से घाटी के तापमान पर काफी गिरावट दर्ज की गई जिससे घाटी के लोगों ने पुनः गर्म कपड़ों को पहनना शुरू कर दिया ।,व,Adhikarana,,cc,
dev-s396,श्री रिजवी बताते हैं कि समाधान प्रस्ताव सभी संबंधित पक्षों से विचार - विमर्श किया जाएगा तथा अंतिम तौर पर शंकराचार्य जी महाराज और ऑल इंडिया मुस्लिम पर्सनल लॉ बोर्ड के अध्यक्ष मौलाना नदवी साहब ही समाधान प्रस्ताव पर निर्णय करेंगे ।,प्रस्ताव,Adhikarana,Karma,obj,
dev-s398,"यह भारत सरकार अथवा अन्य शासकीय स्तर पर तभी संपर्क करेगी, जब शंकराचार्य जी की तरफ से उनके प्रमुख सचिव लिखित तौर पर सूचित करेंगे ।",अथवा,Adhikarana,,cc,
dev-s405,सरकार वित्तीय घाटे और खर्च पर अंकुश लगाने के साथ वेतनभोगी वर्ग को टैक्स में राहत दे सकती है ।,और,Adhikarana,,cc,
dev-s30,कुशीनगर में मौजूद रामाभार का स्‍तूप इन्‍हीं में से एक है ।,इन्‍हीं,Apadana,Adhikarana,nmod,में
dev-s56,कुशीनगर के विस्‍तार के साथ ही यहाँ पर सबसे अधिक बनाए गए मंदिरों में से एक चीनी मंदिर है ।,मंदिरों,Apadana,Adhikarana,nmod,में
dev-s68,कुशीनगर गोरखपुर से 52 किलोमीटर की दूरी पर नेशनल हाईवे नं 28 पर स्‍थित है ।,गोरखपुर,Apadana,,nmod,से
dev-s71,गोरखपुर से देश के लगभग सभी प्रमुख शहरों के लिए ट्रेन की सुविधा उपलब्‍ध है ।,गोरखपुर,Apadana,,nmod,से
dev-s73,दिल्‍ली और लखनऊ से पर्यटन विभाग की ओर से भी विदेशी और घरेलू पर्यटकों के लिए वाहन और रहने की व्‍यवस्‍था की जाती है ।,और,Apadana,,cc,
dev-s91,"ऋषिकेश से केदारनाथ की दूरी 223 किमी है, जिसमें अंतिम दस किमी का अंश जो गौरीकुंड से केदारनाथ है वह पैदल, घोड़े या पालकी से जाना पड़ता है ।",गौरीकुंड,Apadana,,nmod,से
dev-s156,मध्यप्रदेश कैडर से १९६८ बैच के आईपीएस अधिकारी पाधी खुफिया ब्यूरो (आईबी) प्रमुख पद के प्रबल दावेदारों में से एक थे ।,कैडर,Apadana,,nmod,से
dev-s156,मध्यप्रदेश कैडर से १९६८ बैच के आईपीएस अधिकारी पाधी खुफिया ब्यूरो (आईबी) प्रमुख पद के प्रबल दावेदारों में से एक थे ।,दावेदारों,Apadana,Adhikarana,nmod,में
dev-s217,कांग्रेस और झारखंड मुक्ति मोरचा ने आज राज्य की ८१ सीटों में से ६८ सीटें आपस में बांट ली ।,सीटों,Apadana,Adhikaraṇa,obl,में
dev-s220,माकपा पोलित ब्यूरो के सदस्य सीताराम येचुरी ने कहा कि यह समझौता हमारी सोच से अलग है ।,सोच,Apadana,,nmod,से
dev-s306,साक्षरता की वृद्धि दर १९५१ के १८.३ फीसदी से नाटकीय रूप से बढ़कर २००१ में ६४.८ फीसदी हो गई ।,फीसदी,Apadana,,nmod,से
dev-s412,सूत्रों ने बताया कि वित्तीय जिम्मेदारी और बजट प्रबंधन कानून 2003 'एफआरबीएम' की शर्तो के मुताबिक वित्तीय घाटे को सकल घरेलू उत्पाद के 4.3 फीसदी से कम रखने का उपाय किया जा सकता है ।,फीसदी,Apadana,,acl,से
dev-s473,"लोकसभा अध्यक्ष सोमनाथ चटर्जी वाम मोरचे से हैं, जो यूपीए में शामिल नहीं है बल्कि बाहर से समर्थन दे रहें हैं ।",मोरचे,Apadana,,root,से
dev-s512,"एशिया कप के लिए घोषित २० संभावित खिलाड़ियों में से अगरकर के अलावा रोहन गावस्कर, हेमांग बदानी, रमेश पवार, अमित भंडारी और मुरली कार्तिक टीम में जगह नहीं पा सके ।",खिलाड़ियों,Apadana,Adhikaraṇa,obl,में
dev-s556,"मंत्री ने बताया कि दूसरे और तीसरे बैच का प्रशिक्षण क्रमशः २० सितंबर, २००४ और ३ मार्च, २००५ से शुरू किए जाने की बात है ।",और,Apadana,,cc,
dev-s574,अधिकांश अस्पतालों से इससे संबंधित रिकॉर्ड नहीं है और अस्पतालों ने २५ प्रतिशत की अपेक्षा कुछ ही बेड गरीबों के लिए रखे हैं ।,अस्पतालों,Apadana,,nmod,से
dev-s612,नितीश ने यूपीए सरकार से चुनाव आयोग जैसी संवैधानिक संस्था पर दोषारोपण करने के लिए राष्ट्रीय जनता दल के प्रमुख व केंद्रीय रेल मंत्री लालू यादव के खिलाफ़ भी कार्रवाई करने की माँग की है ।,सरकार,Apadana,Sampradāna,iobj,से
dev-s622,"अंततः इन नेताओं को संशोधित घोषणा जारी करनी पड़ी, जिसमें आतंकवाद से लड़ने की चुनौती फेहरिस्त में सबसे ऊपर थी ।",आतंकवाद,Apadana,Karma,obj,से
dev-s632,फॉर्म सब्सिडी खत्म करने पर हालाँकि उन्हें अमेरिका और ब्रिटेन से चतुराई वाला समर्थन मिला लेकिन शिराक़ से हुई मुलाकात इसलिए खास है कि फ्रांस डब्लूटीओ में इस मुद्दे पर जंग छेड़े हुए है ।,और,Apadana,,cc,
dev-s680,"आज देश के कर्जदार हर १०० किसानों में से १० अनुसूचित जनजाति, १८ अनुसूचित जाति व ४४ अन्य पिछड़े वर्ग से हैं ।",किसानों,Apadana,Adhikarana,nmod,में
dev-s683,"जबकि तमिलनाडु में यह अनुपात इस प्रकार से है ४ फीसदी अनुसूचित जनजाति, २२ फीसदी अनुसूचित जाति व ७३ फीसदी अन्य पिछड़े वर्ग से हैं ।",व,Apadana,,cc,
dev-s691,हालांकि अदालत ने यह साफ कर दिया कि राज्यपाल ने अगर दुर्भावनाओं से ग्रस्त होकर इस बाबत फैसला लिया है तो यह उनके विशेषाधिकार के दायरे से बाहर है और अदालत को इस मामले की जाँच का अधिकार है ।,दायरे,Apadana,,nmod,से
dev-s767,उन्होंने कहा कि मैं भाजपा के राष्ट्रवाद और आत्मविश्वास की विचार धारा से पूरी तरह प्रभावित हूँ ।,धारा,Apadana,,nmod,से
dev-s846,पुल के निर्माण कार्य को अंजाम दे रहे चार जवान ही डूबने से बचे हैं ।,डूबने,Apadana,,advcl,
dev-s867,लोगों ने बताया कि मुजफ्फराबाद उरी से मात्र ७० किमी दूर है ।,उरी,Apadana,,nmod,से
dev-s868,"सुलेमान ने बताया कि 'यहां से सिर्फ एक घंटे का सफर है, लेकिन इस दूरी को पाटने में कई दशक लग गए",यहां,Apadana,,nmod,से
dev-s996,इसमें भी १८९ में से ११८ मार्गों को ही राहत दी गई है ।,१८९,Apadana,Adhikaraṇa,obl,में
dev-s1008,"चिदंबरम ने कहा कि मौजूदा वित्तीय वर्ष में ये और जो अन्य मामले विचाराधीन हैं, उनसे ४,००० करोड़ रुपये की उगाही की उम्मीद है ।",उनसे,Apadana,,nmod,
dev-s1028,वाटरशेड सिंचाई कार्यक्रम और अन्य उपाय से कृषि क्षेत्र को ही मजबूती मिलेगी ।,और,Apadana,,cc,
dev-s1038,रासायनिक खादों से भूमि व मनुष्य को होने वाले नुकसान को दरकिनार करते हुए नार्मन ने कहा कि अगर केमिकल फर्टीलाईज़र न हों तो अन्न को लेकर दुनिया में अफरा - तफरी उत्पन्न हो जाएगी ।,खादों,Apadana,,nmod,से
dev-s1151,तब जम्मू डिवीजन और अनंतनाग से तकरीबन 6 हजार जवानों को वापस बुला लिया गया था ।,और,Apadana,,cc,
dev-s1263,"इस राशि में से केवल ६०,३०० करोड़ रुपये ही प्रयोग में लाये जा सकें ।",राशि,Apadana,Adhikaraṇa,obl,में
dev-s1319,माकपा के खिलाफ शिकायतों और आरोपों का पिटारा लेकर चुनाव आयोग पहुंची ममता ने चुनाव आयोग से इस मामले की जांच के लिए विशेष पर्यवेक्षक भेजने की मांग की है ।,आयोग,Apadana,Sampradāna,iobj,से
dev-s1382,कश्मीर रेंज के पुलिस महानिरीक्षक के. राजेंद्र ने लेह से बताया कि राज्य पुलिस ने झड़पों के सिलसिले में अभी तक ३१ लोगों को गिरफ्तार किया है ।,लेह,Apadana,Sampradāna,iobj,से
dev-s1420,"क्योंकि, मानवाधिकार हनन की सबसे अधिक शिकायतें इन्हीं इलाकों से थीं ।",इलाकों,Apadana,,root,से
dev-s1515,पंजाब अधिकार मंच की ओर से मिली एक शिकायत के मद्देनजर सिंह ने लिखकर सिंघल से इस मुद्दे पर 'पक्का बयान' चाहा था ।,सिंघल,Apadana,Sampradāna,iobj,से
dev-s1586,हाल ही में शिवसेना छोड़कर कांग्रेस में शामिल संजय ने अपने इस पत्र की एक प्रति यूपीए अध्यक्ष सोनिया गाँधी को भी भेजी है ।,शिवसेना,Apadana,Karma,obj,
dev-s11,इस मंदिर का स्‍थापत्‍य अजंता की गुफाओं से प्रेरित है ।,गुफाओं,Karana,,nmod,से
dev-s47,मंदिर का निर्माण थाईलैंड सरकार के सौजन्‍य से किया गया है ।,सरकार,Karana,,nmod,के
dev-s91,"ऋषिकेश से केदारनाथ की दूरी 223 किमी है, जिसमें अंतिम दस किमी का अंश जो गौरीकुंड से केदारनाथ है वह पैदल, घोड़े या पालकी से जाना पड़ता है ।",या,Karana,,cc,
dev-s185,संसद सदस्यों के मामले में भी अब तक संसदीय समिति या स्पीकर के जरिए जांच हुई है लेकिन उनके लिए भी कोई ठोस कानूनी उपाय नहीं है ।,या,Karana,,cc,
dev-s210,"आडवाणी को मनाने उनके आवास पर पहुंचे भाजपा नेता साहिब सिंह वर्मा ने कहा, विहिप नेता प्रवीण तोगड़िया के बयान से अध्यक्ष जी आहत हैं ।",बयान,Karana,,nmod,से
dev-s494,"सर्वे के मुताबिक ब्रॉडबैंड सुविधा में विकास कई देशों में सबसे बड़ी समस्या बनी हुई है, वहीं दक्षिण कोरिया जैसे कुछ देशों में ब्रॉडबैंड के जरिए इंटरनेट ने घरों में पहुंच बना ली है ।",ब्रॉडबैंड,Karana,,compound,
dev-s567,दाखिले के समय मरीज़ से फार्म भराकर कि उसकी आय दो हजार रुपये मासिक से ज्यादा नहीं है और इलाज शुरू कर दें ।,मरीज़,Karana,Sampradāna,iobj,से
dev-s613,नितीश ने सप्तऋषि द्वारा उठाए मुद्दे को 'किसी से' प्रेरित बताया ।,किसी,Karana,,acl,से
dev-s762,उन्होंने भाजपा में अपने प्रवेश का भी समर्थन किया ।,प्रवेश,Karana,,nmod,का
dev-s1157,बिहार के जेलमंत्री राघवेंद्र प्रताप सिंह ने राजद के बाहुबली सांसद पप्पू यादव द्वारा बेउर जेलकर्मियों को जान से मारने की धमकी के आरोप की जाँच के आदेश दिए हैं ।,यादव,Karana,Kartā,nsubj,द्वारा
dev-s1231,उन्होंने कहा कि हमारे वायुसेनाकर्मी फ्रांस के अनुभवों से सीख रहे हैं ।,अनुभवों,Karana,Karma,obj,से
dev-s1376,याचिका के माध्यम से मामले के एक गवाह हरीश दुलानी को बुलाने की मांग की गई थी ।,माध्यम,Karana,,case,
dev-s1404,वहीं वित्त मंत्री पी. चिदंबरम ने वोल्कर मामले में प्रवर्तन निदेशालय (ईडी) द्वारा निष्पक्ष जांच का भरोसा दिलाया है ।,निदेशालय,Karana,Sampradāna,iobj,
dev-s1581,राज्यसभा के पूर्व सदस्य और कांग्रेस नेता संजय निरुपम ने राजग सरकार द्वारा आईटीडीसी के 18 होटलों का निजीकरण करने के मामले की जाँच कराने के लिए प्रधानमंत्री मनमोहन सिंह को लिखा है ।,सरकार,Karana,Kartā,nsubj,द्वारा
dev-s19,"मंदिर परिसर से लगा काफी बड़ा सा पार्क है, जहाँ पर्यटकों का जमावड़ा लगा रहता है ।",परिसर,Karma,Karaṇa|Apādāna,obl,से
dev-s39,"इसमें बुद्धकालीन वस्‍तुएं, धातुएं, कुशीनगर में खुदाई के दौरान पाई गई मूर्ति, सिक्‍के, बर्तन आदि रखे गए हैं ।",",",Karma,,punct,
dev-s62,इसमें कछुओं और बतख के साथ ही मछलियों को अठखेलियाँ करते देखना बहुत अच्‍छा लगता है ।,देखना,Karma,Kartā,nsubj,
dev-s63,ठीक सामने मौजूद पगोडा के ऊपर बँधी घंटियाँ सुरम्‍य और शांत वातावरण में जब बजती हैं तो लगता है कि ये सभी दिशाओं में अहिंसा और प्रेम का संदेश दे रहीं हों ।,कि,Karma,,mark,
dev-s83,"प्रागैतिहासिक काल से ऋषि - मुनियों और साधक, परिव्राजकों को यह आकर्षित करता आ रहा है ।",और,Karma,,cc,
dev-s92,"यह उत्तराखंड का सबसे विशाल शिव मंदिर है, जो कटवाँ पत्थरों के विशाल शिलाखंडों को जोड़कर बनाया गया है ।",जो,Karma,,nsubj:pass,
dev-s109,उन्होंने कहा है कि पाक सरकार की लचर कश्मीर नीति के कारण यह मुद्दा पाकिस्तान के हाथ से लगभग निकल चुका है ।,कि,Karma,,mark,
dev-s110,"नवाज शरीफ ने जेद्दा में एक अमेरिकी टेलीविजन चैनल से बातचीत करते हुए कहा कि उनकी सरकार भारत से समान संप्रभु भागीदार की हैसियत से बातचीत करती थी, लेकिन परवेज मुशर्रफ की नीति इसके उलट है ।",कि,Karma,,mark,
dev-s110,"नवाज शरीफ ने जेद्दा में एक अमेरिकी टेलीविजन चैनल से बातचीत करते हुए कहा कि उनकी सरकार भारत से समान संप्रभु भागीदार की हैसियत से बातचीत करती थी, लेकिन परवेज मुशर्रफ की नीति इसके उलट है ।",भारत,Karma,Karaṇa|Apādāna,obl,से
dev-s114,उन्होंने मुशर्रफ पर एजेंडा बदलने और पीछे हटने का आरोप भी लगाया ।,आरोप,Karma,,compound,
dev-s115,उन्होंने चैनल से बातचीत करते हुए कहा कि अमेरिका के दबाव के बावजूद भारत के परमाणु परीक्षण के जवाब में उनकी सरकार ने परमाणु परीक्षण किया था ।,कि,Karma,,mark,
dev-s119,"शरीफ ने कहा कि तब वाजपेयी ने मुझसे कहा था कि वे वर्ष, १९९९ को कश्मीर समस्या के समाधान वर्ष के रूप में याद करना चाहेंगे ।",कि,Karma,,mark,
dev-s119,"शरीफ ने कहा कि तब वाजपेयी ने मुझसे कहा था कि वे वर्ष, १९९९ को कश्मीर समस्या के समाधान वर्ष के रूप में याद करना चाहेंगे ।",कि,Karma,,mark,
dev-s119,"शरीफ ने कहा कि तब वाजपेयी ने मुझसे कहा था कि वे वर्ष, १९९९ को कश्मीर समस्या के समाधान वर्ष के रूप में याद करना चाहेंगे ।",१९९९,Karma,Adhikaraṇa|Apādāna|Karaṇa,obl,को
dev-s124,उन्होंने कहा कि इसके पीछे पाकिस्तान और उसके परमाणु कार्यक्रम को निशाना बनाने का उद्देश्य छिपा हुआ है ।,कि,Karma,,mark,
dev-s124,उन्होंने कहा कि इसके पीछे पाकिस्तान और उसके परमाणु कार्यक्रम को निशाना बनाने का उद्देश्य छिपा हुआ है ।,और,Karma,,cc,
dev-s126,उन्होंने इससे इनकार किया कि अपने निर्वासन के दौरान उन्होंने मुशर्रफ के साथ कोई सौदेबाजी की थी ।,कि,Karma,,mark,
dev-s127,"उन्होंने कहा कि मुशर्रफ की सरकार ने तब सौदेबाजी करने की कोशिश की थी, लेकिन उन्होंने इससे इनकार कर दिया था ।",कि,Karma,,mark,
dev-s131,"यज्ञों, वैदिक मंत्रों और विद्वानों को अलंकृत करने के बीच यह समारोह तीन दिन तक चला और शुक्रवार को मठ के अंदर स्थित समाधि में श्रद्धालुओं के बीच आराधना और पूजा के साथ संपन्न हुआ ।",और,Karma,,cc,
dev-s133,"हालांकि इस बार जयेंद्र सरस्वती की गैरमौजूदगी मौके पर मौजूद विशिष्ट व्यक्तियों के बीच चर्चा का विषय जरूर रही, लेकिन देश भर से आने वाले श्रद्धालुओं की संख्या में कोई कमी नहीं देखी गई ।",विषय,Karma,Kartā,nsubj,
dev-s134,समारोह के दौरान कनिष्ठ आचार्य विजयेंद्र सरस्वती ने यज्ञ और भजन के बाद पूर्ण आहुति देने के बाद स्वर्ण कलश ग्रहण किया ।,आहुति,Karma,,compound,
dev-s139,लोकसभा में पेश की गई अपनी रिपोर्ट में कमेटी का कहना है कि रेलवे को केंद्रीय मदद अब ५० फीसदी से भी अधिक मिलने लगी है ।,कि,Karma,,mark,
dev-s141,योजना आयोग की राय पर गौर करते हुए कमेटी ने कहा है कि असली समस्या रेलवे को मिलने वाली कुल आर्थिक मदद नहीं है ।,कि,Karma,,mark,
dev-s146,"अपने तर्क के समर्थन में उन्होंने योजना आयोग के नजरिए का उल्लेख करते हुए कहा कि ट्रैकों की लंबाई, वृहद क्षेत्रफल और भारी आबादी को देखते हुए चीन और भारत की रेल प्रणाली में खासी समानताएं हैं ।",कि,Karma,,mark,
dev-s146,"अपने तर्क के समर्थन में उन्होंने योजना आयोग के नजरिए का उल्लेख करते हुए कहा कि ट्रैकों की लंबाई, वृहद क्षेत्रफल और भारी आबादी को देखते हुए चीन और भारत की रेल प्रणाली में खासी समानताएं हैं ।",और,Karma,,cc,
dev-s150,वह आंतरिक संसाधनों के जरिए ५७ फीसदी रकम का प्रबंध करता है और बाजार से ३२ फीसदी रकम हासिल करता है ।,रकम,Karma,,nmod,का
dev-s154,बजट का प्रावधान केवल उन क्षेत्रों तक ही सीमित होना चाहिए जो कि वाणिज्यिक संस्थान प्रायोजित नहीं करना चाहता ।,जो,Karma,Kartā,nsubj,
dev-s162,"राष्ट्रपति, प्रधानमंत्री व मुख्य न्यायाधीश को इससे बाहर रखा जाएगा ।",व,Karma,,cc,
dev-s166,"कानून व न्याय मंत्री हंसराज भारद्वाज के मुताबिक सरकार कार्यपालिका, न्यायपालिका और विधायिका को लोकपाल के जरिए ज्यादा कार्यक्षम व बेदाग बनाना चाहती है ।",व,Karma,,compound,
dev-s167,जेएमएम प्रकरण के बाद संसद सदस्यों व निर्वाचित प्रतिनिधियों को लोक सेवक करार दिया जा चुका है और उनसे उसी किस्म की ईमानदारी की उम्मीद की जाती है ।,उनसे,Karma,Adhikaraṇa|Apādāna|Karaṇa,obl,
dev-s170,जब उनसे पूछा गया कि लोकपाल के दायरे में न्यायपालिका को लाने के मुद्दे पर क्या भारत के प्रधान न्यायाधीश से राय ली जाएगी?,कि,Karma,,mark,
dev-s170,जब उनसे पूछा गया कि लोकपाल के दायरे में न्यायपालिका को लाने के मुद्दे पर क्या भारत के प्रधान न्यायाधीश से राय ली जाएगी?,न्यायाधीश,Karma,Sampradāna,iobj,से
