ud_split,ud_sent_id,ud_text,normalized_text
train,train-s42,"भोपाल तथा इंदौर, मांडू, उज्जैन, खजुराहो, पचमढ़ी, ग्वालियर, साँची, जबलपुर और शिवपुरी के बीच नियमित बस सेवाएँ हैं ।","भोपाल तथा इंदौर, मांडू, उज्जैन, खजुराहो, पचमढ़ी, ग्वालियर, साँची, जबलपुर और शिवपुरी के बीच नियमित बस सेवाएँ हैं।"
train,train-s59,संभवतः यह सुल्तान गयासुद्दीन खिलजी ने बड़े हरम के रूप में बनवाया था.,संभवतः यह सुल्तान गयासुद्दीन खिलजी ने बड़े हरम के रूप में बनवाया था.
train,train-s67,यह अफगानी कला का बेजोड़ उदाहरण है.,यह अफगानी कला का बेजोड़ उदाहरण है.
train,train-s74,इस भव्य इमारत से बाज बहादुर के महल और निमाड़ के मैदान में बह रही नर्मदा नदी के दर्शन किए जा सकते हैं ।,इस भव्य इमारत से बाज बहादुर के महल और निमाड़ के मैदान में बह रही नर्मदा नदी के दर्शन किए जा सकते हैं।
train,train-s76,यहाँ शिवजी का मंदिर है जिसमें जाने के लिए अंदर सीढ़ी उतरकर जाना पड़ता है ।,यहाँ शिवजी का मंदिर है जिसमें जाने के लिए अंदर सीढ़ी उतरकर जाना पड़ता है।
train,train-s78,ऊपर पेड़ों से घिरे तालाब से एक धार नीचे शिवजी का अभिषेक करती जाती है ।,ऊपर पेड़ों से घिरे तालाब से एक धार नीचे शिवजी का अभिषेक करती जाती है।
train,train-s82,यहाँ ईको पॉइंट पर पर्यटकों की भीड़ लगी ही रहती है ।,यहाँ ईको पॉइंट पर पर्यटकों की भीड़ लगी ही रहती है।
train,train-s85,"99 किमी. पर इंदौर हवाई अड्डा सबसे निकट है जो मुंबई, दिल्ली और भोपाल से जुड़ा है ।","99 किमी. पर इंदौर हवाई अड्डा सबसे निकट है जो मुंबई, दिल्ली और भोपाल से जुड़ा है।"
train,train-s91,ऊँची पहाड़ी पर पहले आबादी से भरपूर मजबूत रणथम्भौर किला था जिसे हथियाने के लिए एक शासक ने तलहटी में एक साल तक घेरा डाले रखा था ।,ऊँची पहाड़ी पर पहले आबादी से भरपूर मजबूत रणथम्भौर किला था जिसे हथियाने के लिए एक शासक ने तलहटी में एक साल तक घेरा डाले रखा था।
train,train-s92,कई युद्ध झेल चुका और कितने ही राजा और नवाबों के उत्कर्ष और पतन का साक्षी रहा रणथम्भौर किला समुद्र की सतह से 401 मीटर ऊँची पहाड़ी पर बना है ।,कई युद्ध झेल चुका और कितने ही राजा और नवाबों के उत्कर्ष और पतन का साक्षी रहा रणथम्भौर किला समुद्र की सतह से 401 मीटर ऊँची पहाड़ी पर बना है।
train,train-s94,"यहाँ बाघ के अलावा तेंदुआ, हिरण, चीतल, नीलगाय, जंगली सूअर और कई तरह के पक्षी बड़ी संख्या में हैं ।","यहाँ बाघ के अलावा तेंदुआ, हिरण, चीतल, नीलगाय, जंगली सूअर और कई तरह के पक्षी बड़ी संख्या में हैं।"
train,train-s95,किले और उद्यान तक पहुँचने के लिए सिंहद्वार तक एक ही सड़क है ।,किले और उद्यान तक पहुँचने के लिए सिंहद्वार तक एक ही सड़क है।
train,train-s102,सन् 1282 में चौहान वंशीय राजा हमीर यहाँ सत्तारूढ़ थे ।,सन् 1282 में चौहान वंशीय राजा हमीर यहाँ सत्तारूढ़ थे।
train,train-s116,महारानी एलिज़ाबेथ द्वितीय और एडेनबर्ग के ड्यूक के अलावा पूर्व प्रधानमंत्री राजीव गाँधी भी उद्यान में बाघ देखने आ चुके हैं ।,महारानी एलिज़ाबेथ द्वितीय और एडेनबर्ग के ड्यूक के अलावा पूर्व प्रधानमंत्री राजीव गाँधी भी उद्यान में बाघ देखने आ चुके हैं।
train,train-s121,"पिछले पन्द्रह वर्षों से इस क्षेत्र में वाहन चला रहे भानु प्रताप सिंह ने बताया कि पर्यटकों की संख्या निरंतर बढ़ रही है, लेकिन बाघ कभी कभार ही दिखता है ।","पिछले पन्द्रह वर्षों से इस क्षेत्र में वाहन चला रहे भानु प्रताप सिंह ने बताया कि पर्यटकों की संख्या निरंतर बढ़ रही है, लेकिन बाघ कभी कभार ही दिखता है।"
train,train-s126,तो वहीँ दूसरी तरफ सुंदर वादियाँ हैं जो सुंदर फूलों और रंगीन पत्तियों वाले पेड़ों से ढकी रहती हैं ।,तो वहीँ दूसरी तरफ सुंदर वादियाँ हैं जो सुंदर फूलों और रंगीन पत्तियों वाले पेड़ों से ढकी रहती हैं।
train,train-s127,यूँ तो आपने यश चोपड़ा की फिल्मों में इस खूबसूरत देश के कई नयनाभिराम दृश्य देखे होंगे ।,यूँ तो आपने यश चोपड़ा की फिल्मों में इस खूबसूरत देश के कई नयनाभिराम दृश्य देखे होंगे।
train,train-s133,यदि आपके पास थोड़ा सा वक्त और हौसला हो तो सूर्योदय के समय यहाँ की पहाड़ियों पर चहल - कदमी करना बेहद सुखद लगता है ।,यदि आपके पास थोड़ा सा वक्त और हौसला हो तो सूर्योदय के समय यहाँ की पहाड़ियों पर चहल-कदमी करना बेहद सुखद लगता है।
train,train-s134,यदि पैदल नहीं जा सकते तो यहाँ से एक ट्रेन सीधी पहाड़ी के ऊपर जाती है ।,यदि पैदल नहीं जा सकते तो यहाँ से एक ट्रेन सीधी पहाड़ी के ऊपर जाती है।
train,train-s136,और पहाड़ी के ऊपर से सुंदर स्विट्जरलैंड का नजारा लीजिए ।,और पहाड़ी के ऊपर से सुंदर स्विट्जरलैंड का नजारा लीजिए।
train,train-s161,इस मौसम की सुहानी सुबह में आपको फ्रेंच लोग पिस्त्रो में कॉफी और 'लोफ ब्रेड' का आनंद उठाते नजर आएंगे ।,इस मौसम की सुहानी सुबह में आपको फ्रेंच लोग पिस्त्रो में कॉफी और 'लोफ ब्रेड' का आनंद उठाते नजर आएंगे।
train,train-s216,यहाँ के मैजिकल कासल में 'विश कम ट्रू' नामक 12 मिनट की खूबसूरत फिल्म दिखाई जाती है ।,यहाँ के मैजिकल कासल में 'विश कम ट्रू' नामक 12 मिनट की खूबसूरत फिल्म दिखाई जाती है।
train,train-s252,यह शहर कई खूबसूरत नहरों से जुड़ा है ।,यह शहर कई खूबसूरत नहरों से जुड़ा है।
train,train-s257,यहाँ यूरोप का सबसे पुराना जू 'आरटिस जूर' है ।,यहाँ यूरोप का सबसे पुराना जू 'आरटिस जूर' है।
train,train-s262,जहाँ युवतियाँ निर्वस्त्र खड़ी रहकर ग्राहकों को आकर्षित करती हैं ।,जहाँ युवतियाँ निर्वस्त्र खड़ी रहकर ग्राहकों को आकर्षित करती हैं।
train,train-s263,इन खिड़कियों पर चार घंटे खड़े रहने के एवज में इन्हें खासा टैक्स चुकाना पड़ता है ।,इन खिड़कियों पर चार घंटे खड़े रहने के एवज में इन्हें खासा टैक्स चुकाना पड़ता है।
train,train-s270,मेरीटाइम म्यूजियम में आप अतीत के बड़े - बड़े जहाज देख सकते हैं ।,मेरीटाइम म्यूजियम में आप अतीत के बड़े-बड़े जहाज देख सकते हैं।
train,train-s271,इस म्यूजियम में समुद्री यात्राओं से जुड़ी कई यादें संभालकर रखी गई हैं ।,इस म्यूजियम में समुद्री यात्राओं से जुड़ी कई यादें संभालकर रखी गई हैं।
train,train-s274,इस जगह को देखकर आपको बरबस 'सिलसिला' फिल्म का गाना 'देखा एक ख्वाब तो सिलसिले हुए...' की याद आ जाएगी ।,इस जगह को देखकर आपको बरबस 'सिलसिला' फिल्म का गाना 'देखा एक ख्वाब तो सिलसिले हुए...' की याद आ जाएगी।
train,train-s277,यूँ भी नीदरलैंड दुनिया का सबसे बड़ा फूल उत्पादक और विक्रेता देश है ।,यूँ भी नीदरलैंड दुनिया का सबसे बड़ा फूल उत्पादक और विक्रेता देश है।
train,train-s279,यहाँ अनगढ़ हीरों को बेहद खूबसूरती के साथ तराशा जाता है ।,यहाँ अनगढ़ हीरों को बेहद खूबसूरती के साथ तराशा जाता है।
train,train-s281,बाँधवगढ़ के अंदर बना प्राचीन किला भी देखने योग्य है.,बाँधवगढ़ के अंदर बना प्राचीन किला भी देखने योग्य है.
train,train-s289,बाँधवगढ़ जाने का सही मौसम फरवरी से जून माह तक है.,बाँधवगढ़ जाने का सही मौसम फरवरी से जून माह तक है.
train,train-s293,"आप प्लेन, रेल या सड़क मार्ग, जिससे चाहे जा सकते हैं.","आप प्लेन, रेल या सड़क मार्ग, जिससे चाहे जा सकते हैं."
train,train-s298,यहाँ फॉरेस्ट के होटल में दो से तीन हजार रुपए में बढ़िया एयरकूल्ड और एसी रूम उपलब्ध हैं.,यहाँ फॉरेस्ट के होटल में दो से तीन हजार रुपए में बढ़िया एयरकूल्ड और एसी रूम उपलब्ध हैं.
train,train-s302,बजट इस बात पर निर्भर करता है कि आप यात्रा के किस साधन का इस्तेमाल कर रहे हैं और वह बाँधवगढ़ से कितना दूर हैं.,बजट इस बात पर निर्भर करता है कि आप यात्रा के किस साधन का इस्तेमाल कर रहे हैं और वह बाँधवगढ़ से कितना दूर हैं.
train,train-s310,यह किला राजपूती स्थापत्य कला का बेजोड़ नमूना है.,यह किला राजपूती स्थापत्य कला का बेजोड़ नमूना है.
train,train-s311,पुराने समय के खूबसूरत और बड़े भवनों को हवेलियों के नाम से पहचाना जाता था.,पुराने समय के खूबसूरत और बड़े भवनों को हवेलियों के नाम से पहचाना जाता था.
train,train-s314,"इन हवेलियों की खासियत इनके नक्काशीदार खिड़की - दरवाजे, छज्जे और चौड़े परिसर हैं.","इन हवेलियों की खासियत इनके नक्काशीदार खिड़की-दरवाजे, छज्जे और चौड़े परिसर हैं."
train,train-s341,उत्तरप्रदेश का तीसरा बड़ा जिला आगरा ऐतिहासिक दृष्टि से काफी महत्वपूर्ण है.,उत्तरप्रदेश का तीसरा बड़ा जिला आगरा ऐतिहासिक दृष्टि से काफी महत्वपूर्ण है.
train,train-s351,दूधिया चाँदनी में नहाए ताजमहल को देखने के बाद खूबसूरती की सारी उपमाएँ फीकी पड़ जाती हैं.,दूधिया चाँदनी में नहाए ताजमहल को देखने के बाद खूबसूरती की सारी उपमाएँ फीकी पड़ जाती हैं.
train,train-s359,लाल पत्थरों से निर्मित इस इमारत को स्थापत्य कला का बेजोड़ नमूना कहा जा सकता है.,लाल पत्थरों से निर्मित इस इमारत को स्थापत्य कला का बेजोड़ नमूना कहा जा सकता है.
train,train-s364,"जो लोग आगरा शहर में निर्मित स्थापत्य की बेजोड़ कलाओं को देखने आते हैं, वे एक बार फतेहपुर सीकरी का रुख जरूर करते हैं.","जो लोग आगरा शहर में निर्मित स्थापत्य की बेजोड़ कलाओं को देखने आते हैं, वे एक बार फतेहपुर सीकरी का रुख जरूर करते हैं."
train,train-s365,"आगरा से लगभग 35 किलोमीटर दूर स्थित इस स्थान को मुगल सम्राट अकबर ने अपनी राजधानी बनाया था, अतः यहाँ कई बड़ी - बड़ी इमारतें बनी हुई हैं.","आगरा से लगभग 35 किलोमीटर दूर स्थित इस स्थान को मुगल सम्राट अकबर ने अपनी राजधानी बनाया था, अतः यहाँ कई बड़ी-बड़ी इमारतें बनी हुई हैं."
train,train-s370,ताजमहल की तरह ही इसके गुंबद भी बड़ी ही खूबसूरती से तराशे गए हैं.,ताजमहल की तरह ही इसके गुंबद भी बड़ी ही खूबसूरती से तराशे गए हैं.
train,train-s371,मेहताब बाग 'ताजमहल' के पास ही बना हुआ है.,मेहताब बाग 'ताजमहल' के पास ही बना हुआ है.
train,train-s374,एक खूबसूरत छोटी पहाड़ी पर स्थित इन स्मारकों में वि‍भिन्न स्तूपों के अलावा गुप्तकालीन मंदिर और विहार आदि शामिल है.,एक खूबसूरत छोटी पहाड़ी पर स्थित इन स्मारकों में वि‍भिन्न स्तूपों के अलावा गुप्तकालीन मंदिर और विहार आदि शामिल है.
train,train-s382,स्तूप क्रमांक दो पहाड़ी के शिखर पर स्थित है और यह पत्थर की सुंदर चारदीवारी से घिरा हुआ है.,स्तूप क्रमांक दो पहाड़ी के शिखर पर स्थित है और यह पत्थर की सुंदर चारदीवारी से घिरा हुआ है.
train,train-s394,साँची में एक ही चट्टान को काटकर बनाया गया एक बड़ा कटोरा है ।,साँची में एक ही चट्टान को काटकर बनाया गया एक बड़ा कटोरा है।
train,train-s396,पहाड़ी के ठीक नीचे भारतीय पुरातत्व सर्वेक्षण विभाग द्वारा संग्रहालय की स्थापना की गई है ।,पहाड़ी के ठीक नीचे भारतीय पुरातत्व सर्वेक्षण विभाग द्वारा संग्रहालय की स्थापना की गई है।
train,train-s410,"यहाँ एक छोटा सा रेलवे स्टेशन भी है, परंतु नजदीकी बड़ा स्टेशन विदिशा 12 किमी दूर है ।","यहाँ एक छोटा सा रेलवे स्टेशन भी है, परंतु नजदीकी बड़ा स्टेशन विदिशा 12 किमी दूर है।"
train,train-s412,सड़क मार्ग द्वारा एक से डेढ़ घंटे में आसानी से पहुँचा जा सकता है ।,सड़क मार्ग द्वारा एक से डेढ़ घंटे में आसानी से पहुँचा जा सकता है।
train,train-s414,भोपाल हवाई मार्ग से भी देश के सभी बड़े शहरों से जुड़ा हुआ है ।,भोपाल हवाई मार्ग से भी देश के सभी बड़े शहरों से जुड़ा हुआ है।
train,train-s427,इसके अलावा बैठने की अच्छी व्यवस्था तथा पूजा करने के लिए भी काफी बड़े स्थान नजर आए ।,इसके अलावा बैठने की अच्छी व्यवस्था तथा पूजा करने के लिए भी काफी बड़े स्थान नजर आए।
train,train-s429,"कुआलालम्पुर में प्रतिवर्ष भारतीयों द्वारा बड़े पैमाने पर धार्मिक रैली का भी आयोजन किया जाता है, जिसमें भारतीय मूल के लोग भी भाग लेते हैं ।","कुआलालम्पुर में प्रतिवर्ष भारतीयों द्वारा बड़े पैमाने पर धार्मिक रैली का भी आयोजन किया जाता है, जिसमें भारतीय मूल के लोग भी भाग लेते हैं।"
train,train-s443,इसी बाउंड्रीवाल पर वहीदा रहमान का मशहूर गीत 'आज फिर जीने की तमन्‍ना है' फिल्‍माया गया है ।,इसी बाउंड्रीवाल पर वहीदा रहमान का मशहूर गीत 'आज फिर जीने की तमन्‍ना है' फिल्‍माया गया है।
train,train-s448,यानि कुछ लोगों को अपने घर का पता 'चित्‍तौड़ का किला' लिखने का सौभाग्‍य प्राप्‍त हो रहा है ।,यानि कुछ लोगों को अपने घर का पता 'चित्‍तौड़ का किला' लिखने का सौभाग्‍य प्राप्‍त हो रहा है।
train,train-s460,इस किले के नजदीक ही एक स्‍थान को 'जौहर स्‍थल' की संज्ञा दी गई है ।,इस किले के नजदीक ही एक स्‍थान को 'जौहर स्‍थल' की संज्ञा दी गई है।
train,train-s469,"चित्‍तौड़ के किले का एक और अविस्‍मरणीय पड़ाव है, मीरा का मंदिर ।","चित्‍तौड़ के किले का एक और अविस्‍मरणीय पड़ाव है, मीरा का मंदिर।"
train,train-s480,चित्तौड़ देश के सभी हिस्‍सों से सड़क व रेलमार्ग द्वारा जुड़ा है ।,चित्तौड़ देश के सभी हिस्‍सों से सड़क व रेलमार्ग द्वारा जुड़ा है।
train,train-s481,उदयपुर से केवल दो घंटे की सड़क यात्रा करके आप चित्तौड़ पहुँच सकते हैं ।,उदयपुर से केवल दो घंटे की सड़क यात्रा करके आप चित्तौड़ पहुँच सकते हैं।
train,train-s484,सितंबर से फरवरी माह के बीच चित्तौडगढ़ की सैर करना श्रेयस्‍कर होगा ।,सितंबर से फरवरी माह के बीच चित्तौडगढ़ की सैर करना श्रेयस्‍कर होगा।
train,train-s487,"चित्तौड़ एक छोटा, शांत और सस्‍ता शहर है ।","चित्तौड़ एक छोटा, शांत और सस्‍ता शहर है।"
train,train-s490,यमुना नदी के मंदिर के अतिरिक्‍त यहाँ का सबसे बड़ा आकर्षण है - सूर्यकुंड ।,यमुना नदी के मंदिर के अतिरिक्‍त यहाँ का सबसे बड़ा आकर्षण है-सूर्यकुंड।
train,train-s502,ऋषिकेश से 220 किमी का सड़क मार्ग तय करने के बाद फूलचट्टी नामक स्‍थान से यमनोत्री की चढ़ाई प्रारंभ होती है ।,ऋषिकेश से 220 किमी का सड़क मार्ग तय करने के बाद फूलचट्टी नामक स्‍थान से यमनोत्री की चढ़ाई प्रारंभ होती है।
train,train-s508,यमनोत्री की यात्रा पर जाने से पूर्व अपने साथ गर्म कपड़े अवश्‍य रखें ।,यमनोत्री की यात्रा पर जाने से पूर्व अपने साथ गर्म कपड़े अवश्‍य रखें।
train,train-s509,पैरों में डिजाइनर चप्‍पलों या सैंडल की बजाए स्‍पोर्टस शू पहनें तो चढ़ाई करने में आसानी रहेगी ।,पैरों में डिजाइनर चप्‍पलों या सैंडल की बजाए स्‍पोर्टस शू पहनें तो चढ़ाई करने में आसानी रहेगी।
train,train-s510,जब बहुत बड़ी संख्या में विद्युतकण 'इलेक्ट्रॉन' पृथ्वी की ओर बड़े वेग से चुंबकीय क्षेत्र से होकर निकलते हैं तो वातावरण की ऊपरी सतह पर रगड़ खाने से इसमें व्याप्त गैसें जलने लगती हैं और तरह - तरह के प्रकाश प्रकट होते हैं ।,जब बहुत बड़ी संख्या में विद्युतकण 'इलेक्ट्रॉन' पृथ्वी की ओर बड़े वेग से चुंबकीय क्षेत्र से होकर निकलते हैं तो वातावरण की ऊपरी सतह पर रगड़ खाने से इसमें व्याप्त गैसें जलने लगती हैं और तरह-तरह के प्रकाश प्रकट होते हैं।
train,train-s511,इसे 'अरोरा बोरेलिस' कहते हैं ।,इसे 'अरोरा बोरेलिस' कहते हैं।
train,train-s523,ट्राम्सो के पास ही ऊँचे पहाड़ों पर जाने के लिए यहाँ केबल कार चलती है जो 420 मीटर की ऊँचाई तक जाती है ।,ट्राम्सो के पास ही ऊँचे पहाड़ों पर जाने के लिए यहाँ केबल कार चलती है जो 420 मीटर की ऊँचाई तक जाती है।
train,train-s529,जोस्टेडल्सब्रीन ग्लेशियर उत्तरी योरप का सबसे बड़ा ग्लेशियर है ।,जोस्टेडल्सब्रीन ग्लेशियर उत्तरी योरप का सबसे बड़ा ग्लेशियर है।
train,train-s530,रात्रि भर चलने के पश्चात हम लोग अगले दिन अपने अंतिम पड़ाव बर्गन पहुँचे ।,रात्रि भर चलने के पश्चात हम लोग अगले दिन अपने अंतिम पड़ाव बर्गन पहुँचे।
train,train-s531,यह शहर सात पहाड़ों तथा अनेक फ्यूर्ड से घिरा है ।,यह शहर सात पहाड़ों तथा अनेक फ्यूर्ड से घिरा है।
train,train-s532,"यहाँ के ब्राइगन घाट पर लकड़ी के अनेक सुंदर मकान हैं, जो मध्यकालीन युग की याद दिलाते हैं ।","यहाँ के ब्राइगन घाट पर लकड़ी के अनेक सुंदर मकान हैं, जो मध्यकालीन युग की याद दिलाते हैं।"
train,train-s543,मंदिर के गर्भगृह में सात घोड़ों पर सवार सूर्यदेव की प्रतिमा है ।,मंदिर के गर्भगृह में सात घोड़ों पर सवार सूर्यदेव की प्रतिमा है।
train,train-s547,इस मंदिर की सबसे बड़ी खासियत यह है कि इसमें सहस्रमुखी शिवलिंग है ।,इस मंदिर की सबसे बड़ी खासियत यह है कि इसमें सहस्रमुखी शिवलिंग है।
train,train-s553,"यह 117 फुट लंबा, 117 फुट ऊँचा और 66 फुट चौड़ा है ।","यह 117 फुट लंबा, 117 फुट ऊँचा और 66 फुट चौड़ा है।"
train,train-s560,"कहते हैं, कि उस समय बच्‍चे गुरुकुल में पढ़ते थे ।","कहते हैं, कि उस समय बच्‍चे गुरुकुल में पढ़ते थे।"
train,train-s564,"मनुष्य की गरिमा के सम्मान, जिसका हमारे संविधान में उल्लेख है, के दर्शन यहाँ होते हैं जब पैदल चलने वालों को सड़क पार करने के लिए प्राथमिकता दी जाती है व महँगी कार में बैठा कोई बड़ा उद्योगपति अपनी कार रोके रखता है ।","मनुष्य की गरिमा के सम्मान, जिसका हमारे संविधान में उल्लेख है, के दर्शन यहाँ होते हैं जब पैदल चलने वालों को सड़क पार करने के लिए प्राथमिकता दी जाती है व महँगी कार में बैठा कोई बड़ा उद्योगपति अपनी कार रोके रखता है।"
train,train-s565,कम जगह व अधिक यातायात दबाव में संतुलन के लिए सड़कों के समानांतर दूसरी मंजिल पर रेल पटरी है तो कुछ स्थानों पर तीन मंजिला लोकल ट्रेन की पटरियाँ व प्लेटफार्म भी हैं ।,कम जगह व अधिक यातायात दबाव में संतुलन के लिए सड़कों के समानांतर दूसरी मंजिल पर रेल पटरी है तो कुछ स्थानों पर तीन मंजिला लोकल ट्रेन की पटरियाँ व प्लेटफार्म भी हैं।
train,train-s568,इस आजादी की लड़ाई में भारतीयों का भी महत्वपूर्ण योगदान था ।,इस आजादी की लड़ाई में भारतीयों का भी महत्वपूर्ण योगदान था।
train,train-s570,600 प्रजातियों व 8000 से ज्यादा पक्षियों के संग्रह के साथ जुरोंग बर्ड पार्क एशिया - प्रशांत क्षेत्र का सबसे बड़ा पक्षी पार्क है ।,600 प्रजातियों व 8000 से ज्यादा पक्षियों के संग्रह के साथ जुरोंग बर्ड पार्क एशिया-प्रशांत क्षेत्र का सबसे बड़ा पक्षी पार्क है।
train,train-s589,इस उत्सव को 'अंबूवकी अमीती' कहा जाता है ।,इस उत्सव को 'अंबूवकी अमीती' कहा जाता है।
train,train-s605,'वशिष्ठ आश्रम' गुवाहटी से मात्र 12 किलोमीटर दूरी पर स्थित है ।,'वशिष्ठ आश्रम' गुवाहटी से मात्र 12 किलोमीटर दूरी पर स्थित है।
train,train-s625,बृहस्पतिवार को पणज़ी में शुरू हुए ३६वें अंतर्राष्ट्रीय फिल्म महोत्सव के रंग में भंग उस समय पड़ा जब वहां पर तैनात सुरक्षाकर्मियों ने बॉलीवुड की अभिनेत्री बिपाशा बसु के साथ दुव्यर्वहार किया ।,बृहस्पतिवार को पणज़ी में शुरू हुए ३६वें अंतर्राष्ट्रीय फिल्म महोत्सव के रंग में भंग उस समय पड़ा जब वहां पर तैनात सुरक्षाकर्मियों ने बॉलीवुड की अभिनेत्री बिपाशा बसु के साथ दुव्यर्वहार किया।
train,train-s627,लेकिन अभिनेत्री के इस कदम से वहां रंग में भंग पड़ गया ।,लेकिन अभिनेत्री के इस कदम से वहां रंग में भंग पड़ गया।
train,train-s634,इसके पूर्व पणज़ी में रंगारंग कार्निवाल के ३६वें अंतर्राष्ट्रीय फिल्म समारोह का शुभारंभ बड़े ही धूमधाम से हुआ ।,इसके पूर्व पणज़ी में रंगारंग कार्निवाल के ३६वें अंतर्राष्ट्रीय फिल्म समारोह का शुभारंभ बड़े ही धूमधाम से हुआ।
train,train-s635,महोत्सव की सुरक्षा व्यवस्था को लेकर प्रशासन के द्वारा कड़े इंतजाम किए गये हैं और वह किसी भी तरह की कोताही नहीं बरतना चाहता ।,महोत्सव की सुरक्षा व्यवस्था को लेकर प्रशासन के द्वारा कड़े इंतजाम किए गये हैं और वह किसी भी तरह की कोताही नहीं बरतना चाहता।
train,train-s653,गौरतलब है कि राज्य में पंचायतों का गठन न होने के कारण केंद्र सरकार द्वारा पंचायतों को दिए जाने वाले प्रतिवर्ष ५ अरब के केंद्रीय अनुदान से भी झारखंड को हाथ धोना पड़ता है ।,गौरतलब है कि राज्य में पंचायतों का गठन न होने के कारण केंद्र सरकार द्वारा पंचायतों को दिए जाने वाले प्रतिवर्ष ५ अरब के केंद्रीय अनुदान से भी झारखंड को हाथ धोना पड़ता है।
