sent_id,sentence_text,token_form,gold_deprel,stanza_deprel,gold_case_marker,stanza_case_marker,gold_verifier_rule_id,stanza_verifier_rule_id,gold_final_decision,stanza_final_decision,diagnosis
dev-s167,जेएमएम प्रकरण के बाद संसद सदस्यों व निर्वाचित प्रतिनिधियों को लोक सेवक करार दिया जा चुका है और उनसे उसी किस्म की ईमानदारी की उम्मीद की जाती है ।,सदस्यों,iobj,iobj,,को,,R5,mapping_hypothesis,ambiguous,case marker changed empty to को
dev-s175,भारद्वाज के मुताबिक 'प्रणव मुखर्जी की कमेटी ने उस समय भी प्रधानमंत्री को लोकपाल के दायरे से बाहर रखने का सुझाव दिया था ।,प्रधानमंत्री,obl,obj,को,को,,R5,mapping_hypothesis,ambiguous,deprel changed obl to obj
dev-s268,करीब दो घंटे तक गहन मंत्रणा के बाद नटवर सिंह को विदेश मंत्रालय से हटाने का फैसला किया गया ।,सिंह,nsubj,obj,को,को,,R5,mapping_hypothesis,ambiguous,deprel changed nsubj to obj
dev-s285,उन्होंने कहा कि पॉल वोल्कर ने जब खुद स्वीकार किया कि उन्होंने कोफी अन्नान को संकट से उबारने के लिए इसकी भाषा में फेरबदल किया तो इससे इसकी गंभीरता का अंदाजा लगाया जा सकता है ।,अन्नान,nsubj,obj,को,को,,R5,mapping_hypothesis,ambiguous,deprel changed nsubj to obj
dev-s296,आर्थिक सर्वेक्षण २००३ - ०४ में शिक्षा और स्वास्थ्य को आर्थिक विकास की मानव पूंजी घोषित किया गया है और इसे विकास के बुनियादी ढांचे के बराबर का दर्जा दिया गया है ।,शिक्षा,obj,obj,,को,,R5,mapping_hypothesis,ambiguous,case marker changed empty to को
dev-s317,उन्होंने कहा कि गोधरा कांड में विभिन्न जांच रिपोर्टों का वह अध्ययन कर रहे हैं और दोषियों को किसी भी सूरत में बख्शा नहीं जाएगा ।,दोषियों,nsubj:pass,obj,को,को,,R5,no_decision,ambiguous,deprel changed nsubj:pass to obj
dev-s346,होटल वाइल्ड फ्लावर हॉल से कुछ फासले पर स्थित रिट्रीट को राष्ट्रपति के ग्रीष्मकालीन रिहाइश के तौर पर जाना जाता है ।,रिट्रीट,nsubj:pass,obj,को,को,,R5,no_decision,ambiguous,deprel changed nsubj:pass to obj
dev-s664,उनका कहना है कि समिति इसकी पक्षधर है कि किसानों को ६ फीसदी ब्याज दर पर ऋण मुहैया कराया जाना चाहिए ।,किसानों,nsubj:pass,iobj,को,को,,R5,no_decision,ambiguous,deprel changed nsubj:pass to iobj
dev-s742,प्रधानमंत्री मनमोहन सिंह ने शुक्रवार को आतंकवाद को कायरतापूर्ण कृत करार देते हुए कहा कि लोकतंत्र में आस्था रखने वाले देशों को मिलकर इसका मुकाबला करना चाहिए ।,देशों,nsubj,obj,को,को,,R5,mapping_hypothesis,ambiguous,deprel changed nsubj to obj
dev-s787,उन्होंने भीड़ को तितर - बितर होने और कानून अपने हाथ में नहीं लेने के लिए राजी किया ।,भीड़,nsubj,obj,को,को,,R5,mapping_hypothesis,ambiguous,deprel changed nsubj to obj
dev-s790,बहरहाल आयोग को दंगे भड़काने में भूमिका होने की बाबत उनके खिलाफ कोई साक्ष्य नहीं मिला है ।,आयोग,nsubj,iobj,को,को,,R5,mapping_hypothesis,ambiguous,deprel changed nsubj to iobj
