sent_id,sentence_text,token_form,gold_deprel,stanza_deprel,gold_case_marker,stanza_case_marker,gold_verifier_rule_id,stanza_verifier_rule_id,gold_final_decision,stanza_final_decision,diagnosis
dev-s1382,कश्मीर रेंज के पुलिस महानिरीक्षक के. राजेंद्र ने लेह से बताया कि राज्य पुलिस ने झड़पों के सिलसिले में अभी तक ३१ लोगों को गिरफ्तार किया है ।,लेह,obl,iobj,से,से,R4,,ambiguous,mapping_hypothesis,deprel changed obl to iobj
dev-s1427,इसी तरह भूख से मौत के मामलों को आयोग ने गंभीरता से लिया है और इसके लिए राज्य सरकारों को आवश्यक निर्देश जारी किया गया है ।,भूख,obl,nmod,से,से,R4,,ambiguous,no_decision,deprel changed obl to nmod
dev-s1511,विश्व हिंदू परिषद सुप्रीमो अशोक सिंघल ने कहा है कि दसवें गुरु गुरु गोबिंद सिंह के समय से सिखों का उदय एक अलग धार्मिक समुदाय के रूप में हुआ ।,समय,obl,case,से,,R4,,ambiguous,no_decision,deprel changed obl to case; case marker changed से to empty
dev-s1515,पंजाब अधिकार मंच की ओर से मिली एक शिकायत के मद्देनजर सिंह ने लिखकर सिंघल से इस मुद्दे पर 'पक्का बयान' चाहा था ।,सिंघल,obl,iobj,से,से,R4,,ambiguous,mapping_hypothesis,deprel changed obl to iobj
dev-s1521,"वहीं, मेट्रो और डबल डेकर बस पर हुए विस्फोटों में अलकायदा का हाथ सामने आने के बाद से मुस्लिमों के खिलाफ गुस्सा भड़क गया है ।",आने,obl,obl,से,,R4,,ambiguous,mapping_hypothesis,case marker changed से to empty
dev-s1588,बाद में इसकी एकल निविदा आयोजित की गई ताकि भाजपा सांसदों और भाजपा से करीबी रहने वाले लोगों को इन्हें खरीदने में आसानी हो ।,भाजपा,obl,conj,से,,R4,,ambiguous,no_decision,deprel changed obl to conj; case marker changed से to empty
dev-s1648,"उन्होंने कहा कि भारत निर्माण के तहत सरकार के काफी ऊँचे लक्ष्य रखे हैं, लेकिन राज्य सरकारों के सक्रिय सहयोग से इन लक्ष्यों को पाने की पूरी - पूरी उम्मीद है ।",सहयोग,obl,nmod,से,से,R4,,ambiguous,no_decision,deprel changed obl to nmod
dev-s306,साक्षरता की वृद्धि दर १९५१ के १८.३ फीसदी से नाटकीय रूप से बढ़कर २००१ में ६४.८ फीसदी हो गई ।,फीसदी,obl,nmod,से,से,R4,,ambiguous,no_decision,deprel changed obl to nmod
dev-s377,श्रीराम जन्मभूमि मंदिर - बाबरी मस्जिद प्रकरण के सर्वमान्य समाधान के लिए ऑल इंडिया मुस्लिम पर्सनल लॉ बोर्ड से नए प्रस्तावों के तहत बातचीत की तैयारी है ।,बोर्ड,obl,nmod,से,से,R4,,ambiguous,no_decision,deprel changed obl to nmod
dev-s390,"उन्होंने बताया कि विभिन्न दलों के नेताओं के साथ शंकराचार्य जी ने अखिल भारतीय इमाम संगठन के अध्यक्ष मौलाना जमील इलियासी, इस्लामिक कौंसिल आफ इंडिया के अध्यक्ष कारी मुहम्मद मियां मजहरी, सिया मौलाना सैयद कल्वे रुशेद, हेलाल कमेटी फैजाबाद के पदाधिकारी सहित देवबंद के खालिद अंसारी, ऑल इंडिया सिया कांफ्रेंस के सैयद जमीर सुल्तान सहित दूसरे मौलानाओं से भी विचार - विमर्श किया ।",मौलानाओं,obl,obj,से,से,R4,,ambiguous,mapping_hypothesis,deprel changed obl to obj
dev-s391,अयोध्या विवाद के हल के लिए नए सिरे से ऑल इंडिया मुस्लिम पर्सनल लॉ बोर्ड से बातचीत की रणनीति भी है ।,सिरे,obl,nmod,से,से,R4,,ambiguous,no_decision,deprel changed obl to nmod
dev-s408,"इस बजट में आयकर छूट सीमा 70,000 - 1,00,000 करने तथा बुनियादी शिक्षा के लिए धन जुटाने के मकसद से प्रत्यक्ष करों पर दो फीसदी उपकर लगाए जाने की आशा है ।",मकसद,obl,nmod,से,से,R4,,ambiguous,no_decision,deprel changed obl to nmod
dev-s412,सूत्रों ने बताया कि वित्तीय जिम्मेदारी और बजट प्रबंधन कानून 2003 'एफआरबीएम' की शर्तो के मुताबिक वित्तीय घाटे को सकल घरेलू उत्पाद के 4.3 फीसदी से कम रखने का उपाय किया जा सकता है ।,फीसदी,obl,acl,से,से,R4,,ambiguous,no_decision,deprel changed obl to acl
dev-s483,इस बात की संभावना है कि संसदीय कार्यमंत्री गुलाम नबी आजाद इस मामले में अगले कुछ दिनों में एनडीए के शीर्ष नेताओं से बात कर सकते हैं ।,नेताओं,obl,obj,से,से,R4,,ambiguous,mapping_hypothesis,deprel changed obl to obj
dev-s567,दाखिले के समय मरीज़ से फार्म भराकर कि उसकी आय दो हजार रुपये मासिक से ज्यादा नहीं है और इलाज शुरू कर दें ।,मरीज़,obl,iobj,से,से,R4,,ambiguous,mapping_hypothesis,deprel changed obl to iobj
dev-s612,नितीश ने यूपीए सरकार से चुनाव आयोग जैसी संवैधानिक संस्था पर दोषारोपण करने के लिए राष्ट्रीय जनता दल के प्रमुख व केंद्रीय रेल मंत्री लालू यादव के खिलाफ़ भी कार्रवाई करने की माँग की है ।,सरकार,obl,iobj,से,से,R4,,ambiguous,mapping_hypothesis,deprel changed obl to iobj
dev-s613,नितीश ने सप्तऋषि द्वारा उठाए मुद्दे को 'किसी से' प्रेरित बताया ।,किसी,obl,acl,से,से,R4,,ambiguous,no_decision,deprel changed obl to acl
dev-s622,"अंततः इन नेताओं को संशोधित घोषणा जारी करनी पड़ी, जिसमें आतंकवाद से लड़ने की चुनौती फेहरिस्त में सबसे ऊपर थी ।",आतंकवाद,obl,obj,से,से,R4,,ambiguous,mapping_hypothesis,deprel changed obl to obj
dev-s767,उन्होंने कहा कि मैं भाजपा के राष्ट्रवाद और आत्मविश्वास की विचार धारा से पूरी तरह प्रभावित हूँ ।,धारा,obl,nmod,से,से,R4,,ambiguous,no_decision,deprel changed obl to nmod
