sent_id,sentence_text,token_form,deprel,case_marker,rule_id,decision_type,confidence,karaka_candidates,reason
train-s17,और इस तरह से यह वस्तुओं और परंपराओं से जीवंत रूप से जुड़ा हुआ है ।,रूप,obl,से,R4,ambiguous,low-medium,Karaṇa|Apādāna,obl with से postposition — instrument (Karaṇa) or source (Apādāna); cannot disambiguate in v1.
train-s19,"यहाँ संग्रहालय में पुस्तकालय, दृश्य - श्रृव्य आर्काइव, कंप्यूटरीकृत कक्ष व प्रजातीय नमूनों को देखा जाता है ।",संग्रहालय,obl,में,R2,confirmed,medium-high,Adhikaraṇa,obl with में postposition — locative/locus pattern for Adhikaraṇa.
train-s19,"यहाँ संग्रहालय में पुस्तकालय, दृश्य - श्रृव्य आर्काइव, कंप्यूटरीकृत कक्ष व प्रजातीय नमूनों को देखा जाता है ।",पुस्तकालय,obj,को,R5,ambiguous,low-medium,Karma|Sampradāna,obj/iobj with को postposition — patient (Karma) or recipient (Sampradāna); cannot disambiguate in v1.
train-s20,यहाँ मध्य प्रदेश के विभिन्न हिस्सों से कला के खूबसूरत नमूने एकत्रित करके रखे गए हैं ।,हिस्सों,obl,से,R4,ambiguous,low-medium,Karaṇa|Apādāna,obl with से postposition — instrument (Karaṇa) or source (Apādāna); cannot disambiguate in v1.
train-s23,"इससे लगा हुआ एक संग्रहालय है जहाँ मध्यप्रदेश के रायसेन, सीहोर, मंदसौर और शहडोल जिलों से एकत्रित कला नमूनों को रखा गया है ।",जिलों,obl,से,R4,ambiguous,low-medium,Karaṇa|Apādāna,obl with से postposition — instrument (Karaṇa) or source (Apādāna); cannot disambiguate in v1.
train-s23,"इससे लगा हुआ एक संग्रहालय है जहाँ मध्यप्रदेश के रायसेन, सीहोर, मंदसौर और शहडोल जिलों से एकत्रित कला नमूनों को रखा गया है ।",नमूनों,obj,को,R5,ambiguous,low-medium,Karma|Sampradāna,obj/iobj with को postposition — patient (Karma) or recipient (Sampradāna); cannot disambiguate in v1.
train-s25,बड़ी झील से लगी पहाड़ी पर यह सफारी उद्यान स्थित है ।,झील,obl,से,R4,ambiguous,low-medium,Karaṇa|Apādāna,obl with से postposition — instrument (Karaṇa) or source (Apādāna); cannot disambiguate in v1.
train-s26,यह 445 हैक्टेयर में फैला है ।,हैक्टेयर,obl,में,R2,confirmed,medium-high,Adhikaraṇa,obl with में postposition — locative/locus pattern for Adhikaraṇa.
train-s27,प्राकृतिक सुंदरता के बीच आप विभिन्न प्रकार के शाकाहारी और माँसाहारी प्राणियों को देखने का आनंद उठा सकते हैं ।,प्राणियों,obj,को,R5,ambiguous,low-medium,Karma|Sampradāna,obj/iobj with को postposition — patient (Karma) or recipient (Sampradāna); cannot disambiguate in v1.
train-s29,यह मूल रूप से विज्ञान संग्रहालय है जो श्यामला हिल्स की खूबसूरती के बीच स्थित है ।,रूप,obl,से,R4,ambiguous,low-medium,Karaṇa|Apādāna,obl with से postposition — instrument (Karaṇa) or source (Apādāna); cannot disambiguate in v1.
train-s32,"शहर के बीच स्थित चौक में पुरानी मस्जिद, हवेलियाँ अतीत की स्मृति दिलाते हैं ।",चौक,obl,में,R2,confirmed,medium-high,Adhikaraṇa,obl with में postposition — locative/locus pattern for Adhikaraṇa.
train-s33,सँकरी गलियों में स्थित दुकानें हैं जिनमें शिल्प के खजाने खुले हुए हैं ।,गलियों,obl,में,R2,confirmed,medium-high,Adhikaraṇa,obl with में postposition — locative/locus pattern for Adhikaraṇa.
train-s34,"यहाँ आप चाँदी के आभूषण, बीडवर्क, कढ़ाई का काम और सीक्वन का काम खूबसूरत अंदाज में देख और खरीद सकते हैं ।",अंदाज,obl,में,R2,confirmed,medium-high,Adhikaraṇa,obl with में postposition — locative/locus pattern for Adhikaraṇa.
train-s35,बड़ी झील छोटी झील से एक ओवरब्रिज से अलग होती है ।,झील,obl,से,R4,ambiguous,low-medium,Karaṇa|Apādāna,obl with से postposition — instrument (Karaṇa) or source (Apādāna); cannot disambiguate in v1.
train-s35,बड़ी झील छोटी झील से एक ओवरब्रिज से अलग होती है ।,ओवरब्रिज,obl,से,R4,ambiguous,low-medium,Karaṇa|Apādāna,obl with से postposition — instrument (Karaṇa) or source (Apādāna); cannot disambiguate in v1.
train-s36,म.प्र. पर्यटन बोट क्लब बड़ी झील में नौकायन भी करवाता है ।,झील,obl,में,R2,confirmed,medium-high,Adhikaraṇa,obl with में postposition — locative/locus pattern for Adhikaraṇa.
train-s41,मुंबई से इटारसी और झाँसी के रास्ते दिल्ली जाने वाली मुख्य गाड़ियाँ भोपाल होकर जाती हैं ।,मुंबई,obl,से,R4,ambiguous,low-medium,Karaṇa|Apādāna,obl with से postposition — instrument (Karaṇa) or source (Apādāna); cannot disambiguate in v1.
train-s45,वर्ष में कभी भी आप यहाँ जा सकते हैं ।,वर्ष,obl,में,R2,confirmed,medium-high,Adhikaraṇa,obl with में postposition — locative/locus pattern for Adhikaraṇa.
train-s46,"ओरछा का वैभव पत्थरों में जैसे कैद हो गया है, समय यहाँ ठहरा हुआ लगता है और हम चले जाते हैं बरसों बरस पीछे, मध्यकाल के एक शहर में.",पत्थरों,obl,में,R2,confirmed,medium-high,Adhikaraṇa,obl with में postposition — locative/locus pattern for Adhikaraṇa.
train-s46,"ओरछा का वैभव पत्थरों में जैसे कैद हो गया है, समय यहाँ ठहरा हुआ लगता है और हम चले जाते हैं बरसों बरस पीछे, मध्यकाल के एक शहर में.",शहर,obl,में,R2,confirmed,medium-high,Adhikaraṇa,obl with में postposition — locative/locus pattern for Adhikaraṇa.
train-s47,जहाँ के मंदिरों और महलों की चमक को समय की धुंध भी धुँधला नहीं सकी है.,चमक,obj,को,R5,ambiguous,low-medium,Karma|Sampradāna,obj/iobj with को postposition — patient (Karma) or recipient (Sampradāna); cannot disambiguate in v1.
train-s48,16 से 17वीं शताब्दी में बुंदेला शासकों द्वारा बनवाई गई ये इमारतें प्राचीन वैभव को बयाँ करती हैं ।,शताब्दी,obl,में,R2,confirmed,medium-high,Adhikaraṇa,obl with में postposition — locative/locus pattern for Adhikaraṇa.
train-s48,16 से 17वीं शताब्दी में बुंदेला शासकों द्वारा बनवाई गई ये इमारतें प्राचीन वैभव को बयाँ करती हैं ।,वैभव,obj,को,R5,ambiguous,low-medium,Karma|Sampradāna,obj/iobj with को postposition — patient (Karma) or recipient (Sampradāna); cannot disambiguate in v1.
train-s49,"ओरछा, 16वीं शताब्दी में बुंदेला राजपूत रुद्र प्रताप के द्वारा बसाया गया था ।",शताब्दी,obl,में,R2,confirmed,medium-high,Adhikaraṇa,obl with में postposition — locative/locus pattern for Adhikaraṇa.
train-s50,उनके आगे के राजाओं ने शानदार इमारतें और भवन बनवाकर इसकी शान में चार चाँद लगा दिए ।,राजाओं,nsubj,ने,R1,confirmed,high,Kartā,nsubj with ने postposition — strong agent/subject evidence for Kartā.
train-s50,उनके आगे के राजाओं ने शानदार इमारतें और भवन बनवाकर इसकी शान में चार चाँद लगा दिए ।,शान,obl,में,R2,confirmed,medium-high,Adhikaraṇa,obl with में postposition — locative/locus pattern for Adhikaraṇa.
